Index	Author	MemberID	First/Last Author	Authors	Title	Citation	Year	PMID	Tumor Type(s)
169	Egeblad, Mikala	4	L	Nakasone, E. S. and Askautrud, H. A. and Egeblad, M. 	Live imaging of drug responses in the tumor microenvironment in mouse models of breast cancer. 	J Vis Exp. 2013 Mar 24;(73):e50088.	2013	23542634	Breast
170	Taioli, Emanuela	207	L	Dallal C, Garte S, Ragin C, Chen J, Lloyd S, Modugno F, Weissfeld J, Taioli E.	Plasma leptin levels, LEPR Q223R polymorphism and mammographic breast density: a cross-sectional study.	Int J Biol Markers. 2013 Jun 28;28(2):161-7. 	2013	23564622	Breast
171	Osten, Pavel;Dos Santos, Camila;Hannon, Gregory	53;10;3	F/L	Dos Santos, C. O. and Rebbeck, C. and Rozhkova, E. and Valentine, A. and Samuels, A. and Kadiri, L. R. and Osten, P. and Harris, E. Y. and Uren, P. J. and Smith, A. D. and Hannon, G. J. 	Molecular hierarchy of mammary differentiation yields refined markers of mammary stem cells. 	Proceedings of the National Academy of Sciences of the United States of America, 110(18) pp. 7123-7130.	2013	23580620	Breast
172	Budman, Daniel;Lee, Annette	68;62	L	Shapira I, Lee A, Vora R, Budman DR.	P53 mutations in triple negative breast cancer upregulate endosomal recycling of epidermal growth factor receptor (EGFR) increasing its oncogenic potency.	Crit Rev Oncol Hematol. 2013 Nov;88(2):284-92. 	2013	23755891	Breast
173	Tanna, Neil	198		Blechman KM, Broer PN, Tanna N, Ireton JE, Ahn CY, Allen RJ.	Stacked profunda artery perforator flaps for unilateral breast reconstruction: a case report.	J Reconstr Microsurg. 2013 Nov;29(9):631-4. 	2013	23784788	Breast
174	Tanna, Neil	198		Weichman KE, Broer PN, Tanna N, Wilson SC, Allan A, Levine JP, Ahn C, Choi M, Karp NS, Allen R.	The role of autologous fat grafting in secondary microsurgical breast reconstruction.	Ann Plast Surg. 2013 Jul;71(1):24-30.	2013	23788122	Breast
175	Zhang, Xinmin	155		Chang Q, Bournazou E, Sansone P, Berishaj M, Gao SP, Daly L, Wels J, Theilen T, Granitto S, Zhang X, Cotari J, Alpaugh ML, de Stanchina E, Manova K, Li M, Bonafe M, Ceccarelli C, Taffurelli M, Santini D, Altan-Bonnet G, Kaplan R, Norton L, Nishimoto N, Huszar D, Lyden D, Bromberg J.	The IL-6/JAK/Stat3 feed-forward loop drives tumorigenesis and metastasis.	Neoplasia. 2013 Jul;15(7):848-62.	2013	23814496	Breast
176	Picon, Antonio	163		Azab BN, Bhatt VR, Vonfrolio S, Bachir R, Rubinshteyn V, Alkaied H, Habeshy A, Patel J, Picon AI, Bloom SW.	Value of the pretreatment albumin to globulin ratio in predicting long-term mortality in breast cancer patients.	Am J Surg. 2013 Nov;206(5):764-70.	2013	23866764	Breast
177	Taioli, Emanuela	207	F	Taioli E, Joseph GR, Robertson L, Eckstein S, Ragin C.	Knowledge and prevention practices before breast cancer diagnosis in a cross-sectional study among survivors: impact on patients' involvement in the decision making process.	J Cancer Educ. 2014 Mar;29(1):44-9.	2014	24022520	Breast
178	Tanna, Neil	198		Broer PN, Weichman KE, Tanna N, Wilson S, Ng R, Ahn C, Choi M, Karp NS, Levine JP, Allen RJ.	Venous coupler size in autologous breast reconstruction-does it matter?	Microsurgery. 2013 Oct;33(7):514-8. 	2013	24038542	Breast
179	Raptis, George	111		Andreopoulou E, Vigoda IS, Valero V, Hershman DL, Raptis G, Vahdat LT, Han HS, Wright JJ, Pellegrino CM, Cristofanilli M, Alvarez RH, Fehn K, Fineberg S, Sparano JA.	Phase I-II study of the farnesyl transferase inhibitor tipifarnib plus sequential weekly paclitaxel and doxorubicin-cyclophosphamide in HER2/neu-negative inflammatory carcinoma and non-inflammatory estrogen receptor-positive breast carcinoma.	Breast Cancer Res Treat. 2013 Oct;141(3):429-35. 	2013	24068539	Breast
180	Egeblad, Mikala	4		Rajaram, M. and Li, J. and Egeblad, M. and Powers, R. S. 	System-wide analysis reveals a complex network of tumor-fibroblast interactions involved in tumorigenicity. 	PLoS Genetics, 9(9) pp. e1003789.	2013	24068959	Breast
181	Tanna, Neil	198		Levine SM, Snider C, Gerald G, Tanna N, Broer PN, Stolier A, Sadeghi A, Allen RJ Sr.	Buried flap reconstruction after nipple-sparing mastectomy: advancing toward single-stage breast reconstruction.	Plast Reconstr Surg. 2013 Oct;132(4):489e-497e.	2013	24076695	Breast
182	Taioli, Emanuela	207	L	Camacho-Rivera M, Ragin C, Roach V, Kalwar T, Taioli E.	Breast cancer clinical characteristics and outcomes in trinidad and tobago.	J Immigr Minor Health. 2015 Jun;17(3):765-72. 	2015	24146313	Breast
183	Lee, Annette;Taioli, Emanuela	207;68	L	Shapira I, Sultan K, Lee A, Taioli E.	Evolving concepts: how diet and the intestinal microbiome act as modulators of breast malignancy.	ISRN Oncol. 2013 Sep 25;2013:693920.	2013	24187630	Breast
184	Tonks, Nicholas	29	L	Boivin, B. and Chaudhary, F. and Dickinson, B. C. and Haque, A. and Pero, S. C. and Chang, C. J. and Tonks, N. K. 	Receptor protein-tyrosine phosphatase α regulates focal adhesion kinase phosphorylation and ErbB2 oncoprotein mediated mammary epithelial cell motility. 	Journal of Biological Chemistry, 288(52) pp. 36926-36935.	2013	24217252	Breast
185	Hammell, Molly	9		Feigin, M. E. and Xue, B. and Hammell, M. C. and Muthuswamy, S. K. 	G-protein-coupled receptor GPR161 is overexpressed in breast cancer and is a promoter of cell proliferation and invasion. 	Proceedings of the National Academy of Sciences of the United States of America, 111(11) pp. 4191-6.	2014	24599592	Breast
186	Taioli, Emanuela	207	L	Camacho-Rivera M, Ragin C, Roach V, Kalwar T, Taioli E.	Erratum to: Breast Cancer Clinical Characteristics and Outcomes in Trinidad and Tobago.	J Immigr Minor Health. 2015 Jun;17(3):980.	2015	24752981	Breast
187	Tanna, Neil	198		Weichman KE, Tanna N, Broer PN, Wilson S, Azhar H, Karp NS, Choi M, Ahn CY, Levine JP, Allen RJ Sr.	Microsurgical breast reconstruction in thin patients: the impact of low body mass indices.	J Reconstr Microsurg. 2015 Jan;31(1):20-5.	2015	24911411	Breast
188	Taioli, Emanuela	207	L	Camacho-Rivera M, Kalwar T, Sanmugarajah J, Shapira I, Taioli E.	Heterogeneity of breast cancer clinical characteristics and outcome in US black women--effect of place of birth.	Breast J. 2014 Sep-Oct;20(5):489-95. 	2014	25041223	Breast
189	Kostroff, Karen	92		Asirvatham JR, Shah A, Carreon CK, Bhuiya TA, Kahn LB, Kostroff K, Morgenstern NJ.	Ossifying fibromyxoid tumor of the breast mimicking fibroadenoma: a case report and differential diagnoses.	Arch Pathol Lab Med. 2014 Aug;138(8):1098-100. 	2014	25076299	Breast
190	Hannon, Gregory	10		Deng, L. and Shang, L. and Bai, S. and Chen, J. and He, X. and Trevino, R. M. and Chen, S. and Li, X. and Meng, X. and Yu, B. and Wang, X. and Liu, Y. and McDermott, S. P. and Ariazi, A. E. and Ginestier, C. and Ibarra, I. and Ke, J. and Luther, T. K. and Clouthier, S. G. and Xu, L. and Shan, G. and Song, E. and Yao, H. and Hannon, G. J. and Weiss, S. J. and Wicha, M. S. and Liu, S. 	microRNA100 inhibits self-renewal of breast cancer stem-like cells and breast tumor development. 	Cancer Res, 74(22) pp. 6648-6660.	2014	25217527	Breast
191	Tonks, Nicholas	29	L	Chaudhary, F. and Lucito, R. and Tonks, N. K. 	Missing-in-Metastasis regulates cell motility and invasion via PTPdelta-mediated changes in SRC activity. 	Biochemical Journal, 465(1) pp. 89-101.	2014	25287652	Breast
192	Paul, Doru	109		Badulescu F, Badulescu A, Paul D, Popescu CF, Florescu C.	More than 9 years of continuous trastuzumab treatment in metastatic breast cancer without cardiac toxicity: a case report and literature review.	Onco Targets Ther. 2014 Oct 17;7:1911-7. 	2014	25378932	Breast
193	Lesser, Martin	69		Singh B, Smith JA, Axelrod DM, Ameri P, Levitt H, Danoff A, Lesser M, de Angelis C, Illa-Bochaca I, Lubitz S, Huberman D, Darvishian F, Kleinberg DL.	Insulin-like growth factor-I inhibition with pasireotide decreases cell proliferation and increases apoptosis in pre-malignant lesions of the breast: a phase 1 proof of principle trial.	Breast Cancer Res. 2014 Nov 11;16(6):463. 	2014	25385439	Breast
194	Wigler, Michael	34		Rye, I. H. and Lundin, P. and Maner, S. and Fjelldal, R. and Naume, B. and Wigler, M. and Hicks, J. and Borresen-Dale, A. L. and Zetterberg, A. and Russnes, H. G. 	Quantitative multigene FISH on breast carcinomas identifies der(1;16)(q10;p10) as an early event in luminal A tumors. 	Genes, Chromosomes & Cancer, 54(4) pp. 235-48.	2015	25546585	Breast
195	Tanna, Neil	198		Roostaeian J, Yoon AP, Rahgozar P, Tanna N, Crisera CA, Da Lio AL, Festekjian JH.	Implant-based immediate breast reconstruction in the previously augmented patient.	J Plast Reconstr Aesthet Surg. 2015 Apr;68(4):e71-9. 	2015	25736082	Breast
196	Egeblad, Mikala	4	L	Park, Jae-Hyun and Rasch, Morten Grønbech and Qiu, Jing and Lund, Ida Katrine and Egeblad, Mikala 	Presence of Insulin-Like Growth Factor Binding Proteins Correlates With Tumor-Promoting Effects of Matrix Metalloproteinase 9 in Breast Cancer. 	Neoplasia, 17(5) pp. 421-433.	2015	26025665	Breast
197	Knisely, Jonathan	175		Sperduto PW, Kased N, Roberge D, Chao ST, Shanley R, Luo X, Sneed PK, Suh J, Weil RJ, Jensen AW, Brown PD, Shih HA, Kirkpatrick J, Gaspar LE, Fiveash JB, Chiang V, Knisely JP, Sperduto CM, Lin N, Mehta M.	The effect of tumor subtype on the time from primary diagnosis to development of brain metastases and survival in patients with breast cancer.	J Neurooncol. 2013 May;112(3):467-72. 	2013	23462853	Breast;Brain;Mets
198	Budman, Daniel;Barginear, Myra	62;143	L	Anne M, Sammartino D, Barginear MF, Budman D.	Profile of panobinostat and its potential for treatment in solid tumors: an update.	Onco Targets Ther. 2013 Nov 15;6:1613-24. 	2013	24265556	Breast;Lung;Brain;Prostate;Colorectal;Liver;Pancreas;Head & Neck;Kidney;Stomach
199	Li, Jian Yi;Zhang, Xinmin	155;70	F/L	Li JY, Daniels G, Wang J, Zhang X.	TBL1XR1 in physiological and pathological states.	Am J Clin Exp Urol. 2015 Apr 25;3(1):13-23.	2015	26069883	Breast;Lung;Head & Neck;Cervix;Esophageal;Colorectal;Lymphoma;Prostate;Leukemia
200	Symons, Marc	83		Ben-Chetrit N, Chetrit D, Russell R, Körner C, Mancini M, Abdul-Hai A, Itkin T, Carvalho S, Cohen-Dvashi H, Koestler WJ, Shukla K, Lindzen M, Kedmi M, Lauriola M, Shulman Z, Barr H, Seger D, Ferraro DA, Pareja F, Gil-Henn H, Lapidot T, Alon R, Milanezi F, Symons M, Ben-Hamo R, Efroni S, Schmitt F, Wiemann S, Caldas C, Ehrlich M, Yarden Y.	Synaptojanin 2 is a druggable mediator of metastasis and the gene is overexpressed and amplified in breast cancer.	Sci Signal. 2015 Jan 20;8(360):ra7. 	2015	25605973	Breast;Mets
201	Hannon, Gregory	10		Wagenblast, E. and Soto, M. and Gutierrez-Angel, S. and Hartl, C. A. and Gable, A. L. and Maceli, A. R. and Erard, N. and Williams, A. M. and Kim, S. Y. and Dickopf, S. and Harrell, J. C. and Smith, A. D. and Perou, C. M. and Wilkinson, J. E. and Hannon, G. J. and Knott, S. R. 	A model of breast cancer heterogeneity reveals vascular mimicry as a driver of metastasis. 	Nature, 520(7547) pp. 358-362.	2015	25855289	Breast;Mets
202	Mills, Alea A.	20		Kim, S. Y. and Cordeiro, M. H. and Serna, V. A. and Ebbert, K. and Butler, L. M. and Sinha, S. and Mills, A. A. and Woodruff, T. K. and Kurita, T. 	Rescue of platinum-damaged oocytes from programmed cell death through inactivation of the p53 family signaling network. 	Cell Death and Differentiation, 20(8) pp. 987-997.	2013	23598363	Breast;Ovary;Endometrius;Vulvar;Uterus;Cervix;Vagina
203	Potters, Louis	75	F	Potters L, Raince J, Chou H, Kapur A, Bulanowski D, Stanzione R, Lee L.	Development, implementation, and compliance of treatment pathways in radiation medicine.	Front Oncol. 2013 May 6;3:105.	2013	23653892	Breast;Prostate
204	Boockvar, John Andrew	189	L	Kesavabhotla K, Schlaff CD, Shin B, Mubita L, Kaplan R, Tsiouris AJ, Pannullo SC, Christos P, Lavi E, Scheff R, Boockvar JA.	Phase I/II study of oral erlotinib for treatment of relapsed/refractory glioblastoma multiforme and anaplastic astrocytoma.	J Exp Ther Oncol. 2012;10(1):71-81.	2012	22946346	Brain
205	Shih, Karin Kuan-Hui 	180		Cormier B, Diaz JP, Shih K, Sampson RM, Sonoda Y, Park KJ, Alektiar K, Chi DS, Barakat RR, Abu-Rustum NR.	Establishing a sentinel lymph node mapping algorithm for the treatment of early cervical cancer.	Gynecol Oncol. 2011 Aug;122(2):275-80.	2011	21570713	Cervix
206	Boockvar, John Andrew	189		Santillan A, Zink W, Lavi E, Boockvar J, Gobin YP, Patsalides A.	Endovascular embolization of cervical hemangiopericytoma with Onyx-18: case report and review of the literature.	J Neurointerv Surg. 2011 Sep;3(3):304-7. 	2011	21990849	Cervix
207	Maiman, Mitchell	168		Castellanos MR, Davidov A, Punia V, Szerszen A, Maiman M, Lazzaro B, Ahern K, Banerjee P.	Endonuclease-resistant DNA: a novel histochemical marker for cervical intraepithelial neoplasia and cervical carcinoma.	Int J Gynecol Pathol. 2012 Jan;31(1):1-7.	2012	22123717	Cervix
208	McDonald, Alicia	206	F	McDonald AC, Denny L, Wang C, Tsai WY, Wright TC Jr, Kuhn L.	Distribution of high-risk human papillomavirus genotypes among HIV-negative women with and without cervical intraepithelial neoplasia in South Africa.	PLoS One. 2012;7(9):e44332. 	2012	22970201	Cervix
209	Shih, Karin Kuan-Hui 	180		Folkert MR, Shih KK, Abu-Rustum NR, Jewell E, Kollmeier MA, Makker V, Barakat RR, Alektiar KM.	Postoperative pelvic intensity-modulated radiotherapy and concurrent chemotherapy in intermediate- and high-risk cervical cancer.	Gynecol Oncol. 2013 Feb;128(2):288-93. 	2013	23159818	Cervix
210	Taioli, Emanuela	207		Dames DN, Blackman E, Butler R, Taioli E, Eckstein S, Devarajan K, Griffith-Bowe A, Gomez P, Ragin C;African Caribbean Cancer Consortium.	High-risk cervical human papillomavirus infections among human immunodeficiency virus-positive women in the Bahamas.	PLoS One. 2014 Jan 23;9(1):e85429. 	2014	24465558	Cervix
211	Fish, Jonathan	116	F	Fish JD.	Fertility preservation for adolescent women with cancer.	Adolesc Med State Art Rev. 2012 Apr;23(1):111-22, xi. 	2012	22764558	Cervix;Breast;Endometrius;Ovary
212	Shih, Karin Kuan-Hui 	180	F	Shih KK, Folkert MR, Kollmeier MA, Abu-Rustum NR, Sonoda Y, Leitao MM Jr, Barakat RR, Alektiar KM.	Pelvic insufficiency fractures in patients with cervical and endometrial cancer treated with postoperative pelvic radiation.	Gynecol Oncol. 2013 Mar;128(3):540-3. 	2013	23262211	Cervix;Endometrius
213	Taioli, Emanuela	207		Ragin C, Edwards R, Larkins-Pettigrew M, Taioli E, Eckstein S, Thurman N, Bloome J, Markovic N.	Oral HPV infection and sexuality: a cross-sectional study in women.	Int J Mol Sci. 2011;12(6):3928-40.	2011	21747715	Cervix;Head & Neck
214	Simpkins, Henry	79	L	Chen J, Solomides C, Parekh H, Simpkins F, Simpkins H.	Cisplatin resistance in human cervical, ovarian and lung cancer cells.	Cancer Chemother Pharmacol. 2015 Jun;75(6):1217-27. 	2015	25894720	Cervix;Ovary;Lung
215	Cox, Brett	127		Damast S, Wright J, Bilsky M, Hsu M, Zhang Z, Lovelock M, Cox B, Zatcky J, Yamada Y.	Impact of dose on local failure rates after image-guided reirradiation of recurrent paraspinal metastases.	Int J Radiat Oncol Biol Phys. 2011 Nov 1;81(3):819-26.	2011	20888133	CNS
216	Knisely, Jonathan	175		Grant RA, Whicker M, Lleva R, Knisely JP, Inzucchi SE, Chiang VL.	Efficacy and safety of higher dose stereotactic radiosurgery for functional pituitary adenomas: a preliminary report.	World Neurosurg. 2014 Jul-Aug;82(1-2):195-201. 	2014	23385448	CNS
217	Atlas, Mark	129		Zaky W, Dhall G, Ji L, Haley K, Allen J, Atlas M, Bertolone S, Cornelius A, Gardner S, Patel R, Pradhan K, Shen V, Thompson S, Torkildson J, Sposto R, Finlay JL.	Intensive induction chemotherapy followed by myeloablative chemotherapy with autologous hematopoietic progenitor cell rescue for young children newly-diagnosed with central nervous system atypical teratoid/rhabdoid tumors: the Head Start III experience.	Pediatr Blood Cancer. 2014 Jan;61(1):95-101. 	2014	23934933	CNS
218	Boockvar, John Andrew	189	L	Bodhinayake I, Ottenhausen M, Mooney MA, Kesavabhotla K, Christos P, Schwarz JT, Boockvar JA.	Results and risk factors for recurrence following endoscopic endonasal transsphenoidal surgery for pituitary adenoma.	Clin Neurol Neurosurg. 2014 Apr;119:75-9. 	2014	24635930	CNS
219	Teckie, Sewit	182		Lee W, Teckie S, Wiesner T, Ran L, Prieto Granada CN, Lin M, Zhu S, Cao Z, Liang Y, Sboner A, Tap WD, Fletcher JA, Huberman KH, Qin LX, Viale A, Singer S, Zheng D, Berger MF, Chen Y, Antonescu CR, Chi P.	PRC2 is recurrently inactivated through EED or SUZ12 loss in malignant peripheral nerve sheath tumors.	Nat Genet. 2014 Nov;46(11):1227-32.	2014	25240281	CNS
220	Boockvar, John Andrew	189	L	Cohan JN, Moliterno JA, Mok CL, Lavi E, Boockvar JA.	Pineal parenchymal tumor of intermediate differentiation with papillary features: a continuum of primary pineal tumors?	J Neurooncol. 2011 Jan;101(2):301-6.	2011	20521161	CNS;Brain
221	Boockvar, John Andrew	189		Hofstetter CP, Shin BJ, Mubita L, Huang C, Anand VK, Boockvar JA, Schwartz TH.	Endoscopic endonasal transsphenoidal surgery for functional pituitary adenomas.	Neurosurg Focus. 2011 Apr;30(4):E10.	2011	21456921	CNS;Brain
222	Krasnitz, Alexander	15		Rajaram, M. and Zhang, J. and Wang, T. and Li, J. and Kuscu, C. and Qi, H. and Kato, M. and Grubor, V. and Weil, R. J. and Helland, A. and Borrenson-Dale, A. L. and Cho, K. R. and Levine, D. A. and Houghton, A. N. and Wolchok, J. D. and Myeroff, L. and Markowitz, S. D. and Lowe, S. W. and Zhang, M. and Krasnitz, A. and Lucito, R. and Mu, D. and Powers, R. S. 	Two Distinct Categories of Focal Deletions in Cancer Genomes. 	PLoS ONE, 8(6) pp. e66264.	2013	23805207	Colon;Breast;Liver;Lung
223	Krainer, Adrian R.	14		Thorsen, K. and Mansilla, F. and Schepeler, T. and Oster, B. and Rasmussen, M. H. and Dyrskjot, L. and Karni, R. and Akerman, M. and Krainer, A. R. and Laurberg, S. and Andersen, C. L. and Orntoft, T. F. 	Alternative splicing of SLC39A14 in colorectal cancer is regulated by the Wnt pathway	Mol Cell Proteomics. 2011 Jan;10(1):M110.002998.	2011	20938052	Colorectal
224	Sullivan, Kevin	110	F	Sullivan KM, Kozuch PS.	Impact of KRAS Mutations on Management of Colorectal Carcinoma.	Patholog Res Int. 2011 Mar 15;2011:219309. 	2011	21437184	Colorectal
225	McCombie, W. Richard	19		Xu X, Zhang Y, Williams J, Antoniou E, McCombie WR, Wu S, Zhu W, Davidson NO, Denoya P, Li E.	Parallel comparison of Illumina RNA-Seq and Affymetrix microarray platforms on transcriptomic profiles generated from 5-aza-deoxy-cytidine treated HT-29 colon cancer cells and simulated datasets.	BMC Bioinformatics. 2013;14 Suppl 9:S1. 	2013	23902433	Colorectal
226	Lipton, Jeffrey;Vlachos, Adrianna;Kessel, Rachel	130;71;132	F/L	Kessel R, Vlachos A, Lipton JM.	Ribosomopathy association with colorectal cancer.	Gastroenterology. 2015 Jan;148(1):258. 	2015	25451663	Colorectal
227	Paul, Doru	109	F	Paul D, Gold M, Nouraddin N.	Prolonged survival in metastatic colorectal cancer following chemotherapy.	Clin Case Rep. 2014 Oct;2(5):219-23. 	2014	25614815	Colorectal
228	Sullivan, James	185	L	You YN, Rustin RB, Sullivan JD.	Oncotype DX® colon cancer assay for prediction of recurrence risk in patients with stage II and III colon cancer: A review of the evidence.	Surg Oncol. 2015 Jun;24(2):61-66.	2015	25770397	Colorectal
229	Chu, Charles	64		Liu L, Yu H, Huang X, Tan H, Li S, Luo Y, Zhang L, Jiang S, Jia H, Xiong Y, Zhang R, Huang Y, Chu CC, Tian W.	A novel engineered VEGF blocker with an excellent pharmacokinetic profile and robust anti-tumor activity.	BMC Cancer. 2015 Mar 25;15:170. 	2015	25881012	Colorectal;Lung
230	Taioli, Emanuela	207	L	Felix AS, Linkov F, Maxwell GL, Ragin C, Taioli E.	Racial disparities in risk of second primary cancers in endometrial cancer patients: Analysis of SEER Data.	Int J Gynecol Cancer. 2011 Feb 1;21(2):309-315.	2011	21528021	Endometrius
231	Shih, Karin Kuan-Hui 	180	F	Shih KK, Milgrom SA, Abu-Rustum NR, Kollmeier MA, Gardner GJ, Tew WP, Barakat RR, Alektiar KM.	Postoperative pelvic intensity-modulated radiotherapy in high risk endometrial cancer.	Gynecol Oncol. 2013 Mar;128(3):535-9. 	2013	23174538	Endometrius
232	Villella, Jeannine	176		SGO Clinical Practice Endometrial Cancer Working Group, Burke WM, Orr J, Leitao M, Salom E, Gehrig P, Olawaiye AB, Brewer M, Boruta D, Villella J, Herzog T, Abu Shahin F;Society of Gynecologic Oncology Clinical Practice Committee.	Endometrial cancer: a review and current management strategies: part I.	Gynecol Oncol. 2014 Aug;134(2):385-92. 	2014	24905773	Endometrius
233	McCombie, W. Richard	19	L	Streppel, M. M. and Lata, S. and Delabastide, M. and Montgomery, E. A. and Wang, J. S. and Canto, M. I. and Macgregor-Das, A. M. and Pai, S. and Streppel MM, Lata S, DelaBastide M, Montgomery EA, Wang JS, Canto MI, Macgregor-Das AM, Pai S, Morsink FH, Offerhaus GJ, Antoniou E, Maitra A, McCombie WR.	Next-generation sequencing of endoscopic biopsies identifies ARID1A as a tumor-suppressor gene in Barrett's esophagus.	Oncogene. 2014 Jan 16;33(3):347-57. 	2014	23318448	Esophageal
234	Kessel, Rachel	132		Bajpai M, Kessel R, Bhagat T, Nischal S, Yu Y, Verma A, Das KM.	High resolution integrative analysis reveals widespread genetic and epigenetic changes after chronic in-vitro acid and bile exposure in Barrett's epithelium cells.	Genes Chromosomes Cancer. 2013 Dec;52(12):1123-32.	2013	24123713	Esophageal
235	Seetharamu, Nagashree		F	Seetharamu N, Melamed J, Miller G, Rotterdam H, Gonda T, Villanueva G, Halmos B.	Complete pathological response in a patient with metastatic esophageal cancer treated with a regimen of capecitabine, oxaliplatin and docetaxel: a case report.	J Gastrointest Cancer. 2014 Dec;45 Suppl 1:108-11. 	2014	24415222	Esophageal
236	Taioli, Emanuela	207	L	Ragin CC, Langevin SM, Marzouk M, Grandis J, Taioli E.	Determinants of head and neck cancer survival by race.	Head Neck. 2011 Aug;33(8):1092-8. 	2011	20967872	Head & Neck
237	Taioli, Emanuela	207	L	Langevin SM, Stone RA, Bunker CH, Lyons-Weiler MA, LaFramboise WA, Kelly L, Seethala RR, Grandis JR, Sobol RW, Taioli E.	MicroRNA-137 promoter methylation is associated with poorer overall survival in patients with squamous cell carcinoma of the head and neck.	Cancer. 2011 Apr 1;117(7):1454-62. 	2011	21425146	Head & Neck
238	Friscia, Philip;Forte, Frank	150;169	L	Popalzai MJ, Aoun N, Baz W, Mourad M, Forte F, Friscia P.	A case of metastatic mucoepidermoid carcinoma complicated by resistant hypercalcemia.	Clin Med Insights Oncol. 2011;5:83-7. 	2011	21603243	Head & Neck
239	Taioli, Emanuela	207	L	Langevin SM, Grandis JR, Taioli E.	Female hormonal and reproductive factors and head and neck squamous cell carcinoma risk.	Cancer Lett. 2011 Nov 28;310(2):216-21.	2011	21802839	Head & Neck
240	Soffer, Samuel;Levy, Carolyn Fein;Redner, Arlene	81;119;91	L	Issaivanan M, Redner A, Weinstein T, Soffer S, Glassman L, Edelman M, Levy CF.	Esophageal carcinoma in children and adolescents.	J Pediatr Hematol Oncol. 2012 Jan;34(1):63-7.	2012	22052168	Head & Neck
241	Steinberg, Bettie	82		Lucs AV, Saltman B, Chung CH, Steinberg BM, Schwartz DL.	Opportunities and challenges facing biomarker development for personalized head and neck cancer treatment.	Head Neck. 2013 Feb;35(2):294-306. 	2013	22287320	Head & Neck
242	Blei, Francine	118	F	Blei F.	Oral prednisolone for infantile hemangioma: efficacy and safety using a standardized treatment protocol.	Plast Reconstr Surg. 2012 May;129(5):840e-1e;author reply 841e. 	2012	22544114	Head & Neck
243	Steinberg, Bettie	82		Gillison ML, Alemany L, Snijders PJ, Chaturvedi A, Steinberg BM, Schwartz S, Castellsagué X.	Human papillomavirus and diseases of the upper airway: head and neck cancer and respiratory papillomatosis.	Vaccine. 2012 Nov 20;30 Suppl 5:F34-54.	2012	23199965	Head & Neck
244	Tanna, Neil	198		Broer PN, Tanna N, Franco PB, Thanik VD, Levine SM, Garfein ES, Saadeh PB, Ceradini DJ, Hirsch DL, Levine JP.	Ten-year evolution utilizing computer-assisted reconstruction for giant ameloblastoma.	J Reconstr Microsurg. 2013 Mar;29(3):173-80. 	2013	23277406	Head & Neck
245	Li, Jian Yi;Schulder, Michael;Savona, Steven	77;138;70	L	Rishi A, Savona S, Black K, Schulder M, Li JY.	Metastatic medullary carcinoma of thyroid presenting as a dural-based mass: case report and review of literature.	Endocr Pathol. 2013 Mar;24(1):40-4. 	2013	23354781	Head & Neck
246	Goenka, Anuj		F	Goenka A, Morris LG, Rao SS, Wolden SL, Wong RJ, Kraus DH, Ohri N, Setton J, Lok BH, Riaz N, Mychalczak BR, Schoder H, Ganly I, Shah JP, Pfister DG, Zelefsky MJ, Lee NY.	Long-term regional control in the observed neck following definitive chemoradiation for node-positive oropharyngeal squamous cell cancer.	Int J Cancer. 2013 Sep 1;133(5):1214-21. 	2013	23436584	Head & Neck
247	Teckie, Sewit	182	F	Teckie S, Scala LM, Ho F, Wolden S, Chiu J, Cohen GN, Wong R, Ganly I, Zelefsky MJ, Lee NY.	High-dose-rate intraoperative brachytherapy and radical surgical resection in the management of recurrent head-and-neck cancer.	Brachytherapy. 2013 May-Jun;12(3):228-34.	2013	23466361	Head & Neck
248	Costantino, Peter	204		Llewellyn KA, Al Moutran H, Costantino P, Shatzkes DR.	Radiology quiz case 2. Recurrent inverted papilloma (IP) with focal hyperostosis in the right maxillary sinus.	JAMA Otolaryngol Head Neck Surg. 2013 Mar;139(3):309-11.	2013	23657711	Head & Neck
249	Goenka, Anuj			Mutter RW, Lok BH, Dutta PR, Riaz N, Setton J, Berry SL, Goenka A, Zhang Z, Rao SS, Wolden SL, Lee NY.	Constraining the brachial plexus does not compromise regional control in oropharyngeal carcinoma.	Radiat Oncol. 2013 Jul 9;8:173.	2013	23835205	Head & Neck
250	Seetharamu, Nagashree			Ho AL, Lipson BL, Sherman EJ, Xiao H, Fury MG, Apollo A, Seetharamu N, Sima CS, Haque S, Lyo JK, Sales R, Cox L, Pfister DG.	A phase II study of pralatrexate with vitamin B12 and folic acid supplementation for previously treated recurrent and/or metastatic head and neck squamous cell cancer.	Invest New Drugs. 2014 Jun;32(3):549-54.	2014	24566705	Head & Neck
251	Seetharamu, Nagashree			Jimeno A, Bauman JE, Weissman C, Adkins D, Schnadig I, Beauregard P, Bowles DW, Spira A, Levy B, Seetharamu N, Hausman D, Walker L, Rudin CM, Shirai K.	A randomized, phase 2 trial of docetaxel with or without PX-866, an irreversible oral phosphatidylinositol 3-kinase inhibitor, in patients with relapsed or metastatic head and neck squamous cell cancer.	Oral Oncol. 2015 Apr;51(4):383-8. 	2015	25593016	Head & Neck
252	Tanna, Neil	198	F	Tanna N, Chadha N, Sharma RR, Goodman JF, Sadeghi N.	Malignant ossifying fibromyxoid tumor of the parapharyngeal space.	Ear Nose Throat J. 2012 Oct;91(10):E15-7.	2012	23076857	Head & Neck;Fibroma
