Serial Number	Project Title	Tumor Type(s)	Administering  IC	Application ID	Project Number	Type	Activity	IC	Support Year	Suffix	Subproject Number 	Contact PI  Person ID	Contact PI / Project Leader	PI Trim	MemberID	Other PI or Project Leader(s)	Organization Name	ARRA Indicator	FY	FY Total Cost 	FY Total Cost  (Sub Projects)	FY Total
13106	CHROMOSOME INHERITANCE	Any;Breast	NCI	8208590	5P01CA013106-40	5	P01	CA	40		25	1884018	STILLMAN, BRUCE W.	STILLMAN, BRUCE W.	28	Not Applicable	Cold Spring Harbor	 	2011		660275	660275
13106	CHROMOSOME INHERITANCE	Any;Breast	NCI	8018464	5P01CA013106-39	5	P01	CA	39		25	1884018	STILLMAN, BRUCE W.	STILLMAN, BRUCE W.	28	Not Applicable	Cold Spring Harbor	 	2010		734537	734537
12565	CIRCUIT MECHANISMS OF AUDITORY CATEGORIZATION		NIDCD	8721392	5R01DC012565-03	5	R01	DC	3			1930333	ZADOR, ANTHONY M	ZADOR, ANTHONY M	59	Not Applicable	Cold Spring Harbor	 	2014	401625		401625
12565	CIRCUIT MECHANISMS OF AUDITORY CATEGORIZATION		NIDCD	8484818	5R01DC012565-02	5	R01	DC	2			1930333	ZADOR, ANTHONY M	ZADOR, ANTHONY M	59	Not Applicable	Cold Spring Harbor	 	2013	381544		381544
12565	CIRCUIT MECHANISMS OF AUDITORY CATEGORIZATION		NIDCD	8346145	1R01DC012565-01	1	R01	DC	1			1930333	ZADOR, ANTHONY M	ZADOR, ANTHONY M	59	Not Applicable	Cold Spring Harbor	 	2012	400209		400209
88649	CIRCUIT PLASTICITY UNDERLYING ACQUISITION OF SENSORY DECISION TASK		NINDS	8878369	5R01NS088649-02	5	R01	NS	2			1930333	ZADOR, ANTHONY M	ZADOR, ANTHONY M	59	Not Applicable	Cold Spring Harbor	 	2015	420000		420000
88649	CIRCUIT PLASTICITY UNDERLYING ACQUISITION OF SENSORY DECISION TASK		NINDS	8765972	1R01NS088649-01	1	R01	NS	1			1930333	ZADOR, ANTHONY M	ZADOR, ANTHONY M	59	Not Applicable	Cold Spring Harbor	 	2014	413438		413438
90590	CLINICAL ASSESSMENT STRATEGIES UNIT (RESEARCH METHODS CORE)		NIMH	8700523	5P30MH090590-05	5	P30	MH	5		7409	1887254	CORNBLATT, BARBARA A.	CORNBLATT, BARBARA A.		Not Applicable	Feinstein Institute	 	2014		161366	302582
90590	CLINICAL ASSESSMENT STRATEGIES UNIT (RESEARCH METHODS CORE)		NIMH	8463873	5P30MH090590-04	5	P30	MH	4		7409	1887254	CORNBLATT, BARBARA A.	CORNBLATT, BARBARA A.		Not Applicable	Feinstein Institute	 	2013		155619	282200
90590	CLINICAL ASSESSMENT STRATEGIES UNIT (RESEARCH METHODS CORE)		NIMH	8507851	3P30MH090590-03S1	3	P30	MH	3	S1	7409	1887254	CORNBLATT, BARBARA A.	CORNBLATT, BARBARA A.		Not Applicable	Feinstein Institute	 	2012		18320	181092
90590	CLINICAL ASSESSMENT STRATEGIES UNIT (RESEARCH METHODS CORE)		NIMH	8377181	5P30MH090590-03	5	P30	MH	3		7409	1887254	CORNBLATT, BARBARA A.	CORNBLATT, BARBARA A.		Not Applicable	Feinstein Institute	 	2012		154017	180932
90590	CLINICAL ASSESSMENT STRATEGIES UNIT (RESEARCH METHODS CORE)		NIMH	8301762	5P30MH090590-02	5	P30	MH	2		7409	1887254	CORNBLATT, BARBARA A.	CORNBLATT, BARBARA A.		Not Applicable	Feinstein Institute	 	2011		150507	150507
90590	CLINICAL ASSESSMENT STRATEGIES UNIT (RESEARCH METHODS CORE)		NIMH	8110771	1P30MH090590-01	1	P30	MH	1		7409	1887254	CORNBLATT, BARBARA A.	CORNBLATT, BARBARA A.		Not Applicable	Feinstein Institute	 	2010		148914	148914
18535	CLINICAL EVALUATION OF APPROPRIATENESS FOR MYOCARDIAL PERFUSION IMAGING		NCRR	8167265	5M01RR018535-08	5	M01	RR	8		7124	2066261	DRUZ, DAVID S	DRUZ, DAVID S		Not Applicable	Feinstein Institute	 	2010		3815	3815
71675	CLINICAL RESEARCH CORE		NINDS	8742002	5P50NS071675-05	5	P50	NS	5		6346	1886109	FEIGIN, ANDREW S	FEIGIN, ANDREW S		Not Applicable	Feinstein Institute	 	2014		113169	113169
71675	CLINICAL RESEARCH CORE		NINDS	8549327	5P50NS071675-04	5	P50	NS	4		6346	1886109	FEIGIN, ANDREW S	FEIGIN, ANDREW S		Not Applicable	Feinstein Institute	 	2013		125299	125299
71675	CLINICAL RESEARCH CORE		NINDS	8382423	5P50NS071675-03	5	P50	NS	3		6346	1886109	FEIGIN, ANDREW S	FEIGIN, ANDREW S		Not Applicable	Feinstein Institute	 	2012		114082	114082
71675	CLINICAL RESEARCH CORE		NINDS	8332347	5P50NS071675-02	5	P50	NS	2		6346	1886109	FEIGIN, ANDREW S	FEIGIN, ANDREW S		Not Applicable	Feinstein Institute	 	2011		126842	126842
71675	CLINICAL RESEARCH CORE		NINDS	8009015	1P50NS071675-01	1	P50	NS	1		6346	1886109	FEIGIN, ANDREW S	FEIGIN, ANDREW S		Not Applicable	Feinstein Institute	 	2010		109465	109465
18535	CLINICAL TRIAL: A DOUBLE BLIND;PLACEBO CONTROLLED;PHASE II;RANDOMIZED STUDY O		NCRR	8167245	5M01RR018535-08	5	M01	RR	8		7104	7850197	ARANOW, CYNTHIA 	ARANOW, CYNTHIA		Not Applicable	Feinstein Institute	 	2010		13141	320150
18535	CLINICAL TRIAL: A MULTI-CENTER;OPEN-LABEL;CONTINUATION TRIAL OF LYMPHOSTAT-B A		NCRR	8167241	5M01RR018535-08	5	M01	RR	8		7100	7850197	ARANOW, CYNTHIA 	ARANOW, CYNTHIA		Not Applicable	Feinstein Institute	 	2010		423	282200
18535	CLINICAL TRIAL: A STUDY OF CREATINE IN SUBJECTS WITH TREATED PARKINSON'S DISEASE		NCRR	8167236	5M01RR018535-08	5	M01	RR	8		7095	1886109	FEIGIN, ANDREW S	FEIGIN, ANDREW S		Not Applicable	Feinstein Institute	 	2010		19077	19077
18535	CLINICAL TRIAL: ADJUNCTIVE TREATMENT WITH DIVALPROEX OR RISPERIDONE IN CHILDREN		NCRR	8167261	5M01RR018535-08	5	M01	RR	8		7120	1958809	BLADER, JOSEPH C	BLADER, JOSEPH C		Not Applicable	Feinstein Institute	 	2010		50447	249000
18535	CLINICAL TRIAL: BIOLOGY AND USE OF TNF INHIBITION IN CHILDREN WITH JUVENILE IDIO		NCRR	8167293	5M01RR018535-08	5	M01	RR	8		7152	8023355	GOTTLIEB, BETH S	GOTTLIEB, BETH S		Not Applicable	Feinstein Institute	 	2010		2544	2544
18535	CLINICAL TRIAL: EFFECTS OF COENZYME Q10 IN PARKINSON DISEASE  (QE#)		NCRR	8167263	5M01RR018535-08	5	M01	RR	8		7122	1886109	FEIGIN, ANDREW S	FEIGIN, ANDREW S		Not Applicable	Feinstein Institute	 	2010		13989	13989
18535	CLINICAL TRIAL: FUTURE REVASCULARIZATION EVALUATION IN PATIENTS WITH DIABETES ME		NCRR	8167224	5M01RR018535-08	5	M01	RR	8		7083	8855538	ONG, LAWRENCE 	ONG, LAWRENCE		Not Applicable	Feinstein Institute	 	2010		1272	1272
18535	CLINICAL TRIAL: LIOTHYRONINE (T3) STUDY FOR  BIPOLAR DEPRESSION		NCRR	8167270	5M01RR018535-08	5	M01	RR	8		7129	10560210	BRAGA, RAPHAEL J	BRAGA, RAPHAEL J		Not Applicable	Feinstein Institute	 	2010		16110	328680
18535	CLINICAL TRIAL: PREVENTING MORBIDITY IN FIRST EPISODE SCHIZOPHRENIA		NCRR	8167220	5M01RR018535-08	5	M01	RR	8		7079	1894605	ROBINSON, DELBERT G	ROBINSON, DELBERT G		Not Applicable	Feinstein Institute	 	2010		676250	676250
18535	CLINICAL TRIAL: RANDOMIZED;DOUBLE-BLIND;CONTROLLED;PHASE II TRIAL OF CTLA4IG		NCRR	8167266	5M01RR018535-08	5	M01	RR	8		7125	7748490	MACKAY, MEGGAN 	MACKAY, MEGGAN		Not Applicable	Feinstein Institute	 	2010		8479	8479
18535	CLINICAL TRIAL: RELAPSE PREVENTION: LONG-ACTING ATYPICAL ANTIPSYCHOTICS		NCRR	8167242	5M01RR018535-08	5	M01	RR	8		7101	6611914	MENDELOWITZ, ALAN 	MENDELOWITZ, ALAN		Not Applicable	Feinstein Institute	 	2010		321758	321758
18535	CLINICAL TRIAL: STUDY OF RILONACEPT IN THE TREATMENT OF SYSTEMIC JUVENILE IDIOPA		NCRR	8167275	5M01RR018535-08	5	M01	RR	8		7134	8023355	GOTTLIEB, BETH S	GOTTLIEB, BETH S		Not Applicable	Feinstein Institute	 	2010		2544	2544
18535	CLINICAL TRIAL: STUDY TO EVALUATE THE SAFETY AND EFFICACY OF MN-221 IN ASTHMA		NCRR	8167281	5M01RR018535-08	5	M01	RR	8		7140	10206811	FARINA, GINO 	FARINA, GINO		Not Applicable	Feinstein Institute	 	2010		64	64
18535	CLINICAL TRIAL: TRIAL OF EARLY AGGRESSIVE TREATMENT IN JUVENILE IDIOPATHIC ARTHR		NCRR	8167247	5M01RR018535-08	5	M01	RR	8		7106	8023355	GOTTLIEB, BETH S	GOTTLIEB, BETH S		Not Applicable	Feinstein Institute	 	2010		2544	2544
71675	COGNITIVE AND BEHAVIORAL CORE		NINDS	8742003	5P50NS071675-05	5	P50	NS	5		6347	1960771	GLUCK, MARK A	GLUCK, MARK A		Not Applicable	Feinstein Institute	 	2014		102357	102357
71675	COGNITIVE AND BEHAVIORAL CORE		NINDS	8549328	5P50NS071675-04	5	P50	NS	4		6347	1960771	GLUCK, MARK A	GLUCK, MARK A		Not Applicable	Feinstein Institute	 	2013		99054	99054
71675	COGNITIVE AND BEHAVIORAL CORE		NINDS	8382425	5P50NS071675-03	5	P50	NS	3		6347	1960771	GLUCK, MARK A	GLUCK, MARK A		Not Applicable	Feinstein Institute	 	2012		101921	101921
71675	COGNITIVE AND BEHAVIORAL CORE		NINDS	8332348	5P50NS071675-02	5	P50	NS	2		6347	1960771	GLUCK, MARK A	GLUCK, MARK A		Not Applicable	Feinstein Institute	 	2011		100700	100700
71675	COGNITIVE AND BEHAVIORAL CORE		NINDS	8009017	1P50NS071675-01	1	P50	NS	1		6347	1960771	GLUCK, MARK A	GLUCK, MARK A		Not Applicable	Feinstein Institute	 	2010		100656	100656
102852	COGNITIVE AND IMMUNE IMPAIRMENTS IN SEPSIS SURVIVORS		NIAID	8667802	1P01AI102852-01A1	1	P01	AI	1	A1		1862435	DIAMOND, BETTY  	DIAMOND, BETTY		TRACEY, KEVIN J	Feinstein Institute	 	2014	2292587		2292587
21496	COLD INDUCIBLE RNA BINDING PROTEIN AND ALCOHOL INDUCED NEUROSUPPRESSION		NIAAA	8493914	5R21AA021496-02	5	R21	AA	2			1865987	WANG, PING 	WANG, PING		Not Applicable	Feinstein Institute	 	2013	186088		186088
21496	COLD INDUCIBLE RNA BINDING PROTEIN AND ALCOHOL INDUCED NEUROSUPPRESSION		NIAAA	8364583	1R21AA021496-01	1	R21	AA	1			1865987	WANG, PING 	WANG, PING		Not Applicable	Feinstein Institute	 	2012	240422		240422
65371	Cold Spring Harbor 2010 CONFERENCE OF VERTEBRATE ORGANOGENESIS		NICHD	8453236	5R13HD065371-04	5	R13	HD	4			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2013	1		1
65371	Cold Spring Harbor 2010 CONFERENCE OF VERTEBRATE ORGANOGENESIS		NICHD	8241615	5R13HD065371-03	5	R13	HD	3			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	6000		6000
65371	Cold Spring Harbor 2010 CONFERENCE OF VERTEBRATE ORGANOGENESIS		NICHD	8049735	5R13HD065371-02	5	R13	HD	2			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	1		1
65371	Cold Spring Harbor 2010 CONFERENCE OF VERTEBRATE ORGANOGENESIS		NICHD	7911460	1R13HD065371-01	1	R13	HD	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2010	12000		12000
13106	Cold Spring Harbor CANCER RESEARCH CENTER	Any;Admin	NCI	8788910	5P01CA013106-44	5	P01	CA	44			1924153	HANNON, GREGORY J	HANNON, GREGORY J	10	Not Applicable	Cold Spring Harbor	 	2015	4421268		4421268
13106	Cold Spring Harbor CANCER RESEARCH CENTER	Any;Admin	NCI	8619511	5P01CA013106-43	5	P01	CA	43			1924153	HANNON, GREGORY J	HANNON, GREGORY J	10	Not Applicable	Cold Spring Harbor	 	2014	4221622		4221622
13106	Cold Spring Harbor CANCER RESEARCH CENTER	Any;Admin	NCI	8474698	5P01CA013106-42	5	P01	CA	42			1924153	HANNON, GREGORY J	HANNON, GREGORY J	10	Not Applicable	Cold Spring Harbor	 	2013	4101060		4101060
13106	Cold Spring Harbor CANCER RESEARCH CENTER	Any;Admin	NCI	8519746	3P01CA013106-41S1	3	P01	CA	41	S1		1924153	HANNON, GREGORY J	HANNON, GREGORY J	10	Not Applicable	Cold Spring Harbor	 	2012	188000		188000
13106	Cold Spring Harbor CANCER RESEARCH CENTER	Any;Admin	NCI	8218372	2P01CA013106-41	2	P01	CA	41			1924153	HANNON, GREGORY J	HANNON, GREGORY J	10	Not Applicable	Cold Spring Harbor	 	2012	4298042		4298042
13106	Cold Spring Harbor CANCER RESEARCH CENTER	Any;Admin	NCI	8018471	5P01CA013106-40	5	P01	CA	40			1924153	HANNON, GREGORY J	HANNON, GREGORY J	10	Not Applicable	Cold Spring Harbor	 	2011	4592515		4592515
13106	Cold Spring Harbor CANCER RESEARCH CENTER	Any;Admin	NCI	7784566	5P01CA013106-39	5	P01	CA	39			1924153	HANNON, GREGORY J	HANNON, GREGORY J	10	Not Applicable	Cold Spring Harbor	 	2010	4743330		4743330
9481	Cold Spring Harbor CANCER WORKSHOPS	Any;Training	NCI	8828001	5R25CA009481-32	5	R25	CA	32			7852017	GRODZICKER, TERRI I.	GRODZICKER, TERRI I.		Not Applicable	Cold Spring Harbor	 	2015	319913		319913
9481	Cold Spring Harbor CANCER WORKSHOPS	Any;Training	NCI	8629696	5R25CA009481-31	5	R25	CA	31			7852017	GRODZICKER, TERRI I.	GRODZICKER, TERRI I.		Not Applicable	Cold Spring Harbor	 	2014	319913		319913
9481	Cold Spring Harbor CANCER WORKSHOPS	Any;Training	NCI	8446979	5R25CA009481-30	5	R25	CA	30			7852017	GRODZICKER, TERRI I.	GRODZICKER, TERRI I.		Not Applicable	Cold Spring Harbor	 	2013	319913		319913
9481	Cold Spring Harbor CANCER WORKSHOPS	Any;Training	NCI	8267431	2R25CA009481-29A1	2	R25	CA	29	A1		7852017	GRODZICKER, TERRI I.	GRODZICKER, TERRI I.		Not Applicable	Cold Spring Harbor	 	2012	319613		319613
9481	Cold Spring Harbor CANCER WORKSHOPS	Any;Training	NCI	7792248	5T15CA009481-28	5	T15	CA	28			7852017	GRODZICKER, TERRI I.	GRODZICKER, TERRI I.		Not Applicable	Cold Spring Harbor	 	2010	303601		303601
96522	Cold Spring Harbor CONFERENCE ON PHARMACOGENOMICS & PERSONALIZED THERA		NIGMS	8540441	5R13GM096522-04	5	R13	GM	4			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2013	10000		10000
96522	Cold Spring Harbor CONFERENCE ON PHARMACOGENOMICS & PERSONALIZED THERA		NIGMS	8328963	5R13GM096522-03	5	R13	GM	3			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	10000		10000
96522	Cold Spring Harbor CONFERENCE ON PHARMACOGENOMICS & PERSONALIZED THERA		NIGMS	8149803	5R13GM096522-02	5	R13	GM	2			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2011	1		1
96522	Cold Spring Harbor CONFERENCE ON PHARMACOGENOMICS & PERSONALIZED THERA		NIGMS	8061795	1R13GM096522-01	1	R13	GM	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2010	15000		15000
126007	Cold Spring Harbor CONFERENCE ON THE UBIQUITIN FAMILY	Any;Training	NCI	7779467	5R13CA126007-03	5	R13	CA	3			7852017	GRODZICKER, TERRI I.	GRODZICKER, TERRI I.		Not Applicable	Cold Spring Harbor	 	2011	4500		4500
72999	Cold Spring Harbor COURSE ON PROTEOMICS	Any;Training	NICHD	8843278	5T15HD072999-04	5	T15	HD	4			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2015	113634		113634
72999	Cold Spring Harbor COURSE ON PROTEOMICS	Any;Training	NICHD	8657407	5T15HD072999-03	5	T15	HD	3			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2014	110695		110695
72999	Cold Spring Harbor COURSE ON PROTEOMICS	Any;Training	NICHD	8523948	5T15HD072999-02	5	T15	HD	2			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2013	107840		107840
72999	Cold Spring Harbor COURSE ON PROTEOMICS	Any;Training	NICHD	8338032	1T15HD072999-01	1	T15	HD	1			7039607	STEWART, DAVID J.	STEWART, DAVID J.		Not Applicable	Cold Spring Harbor	 	2012	105068		105068
89908	Cold Spring Harbor FACULTY RECRUITMENT IN DEVELOPMENTAL NEUROBIOLOGY		NIMH	7941851	5P30MH089908-02	5	P30	MH	2			1930333	ZADOR, ANTHONY M	ZADOR, ANTHONY M	59	Not Applicable	Cold Spring Harbor	YES	2010	538683		538683
89964	COMMON AND RARE GENETIC FACTORS IN AN ETHNICALLY HOMOGENEOUS SCHIZOPHRENIA COHORT		NIMH	7941720	5RC2MH089964-02	5	RC2	MH	2			1867459	LENCZ, TODD 	LENCZ, TODD		Not Applicable	Feinstein Institute	YES	2010	1451988		1451988
19072	COMPLEX DECISIONS AND THE BRAIN: AN EXPERIMENTAL AND THEORETICAL APPROACH		NEI	8324694	5R00EY019072-05	5	R00	EY	5			6357328	CHURCHLAND, ANNE KATHRYN	CHURCHLAND, ANNE KATHRYN	39	Not Applicable	Cold Spring Harbor	 	2012	247403		247403
19072	COMPLEX DECISIONS AND THE BRAIN: AN EXPERIMENTAL AND THEORETICAL APPROACH		NEI	8150943	5R00EY019072-04	5	R00	EY	4			6357328	CHURCHLAND, ANNE KATHRYN	CHURCHLAND, ANNE KATHRYN	39	Not Applicable	Cold Spring Harbor	 	2011	236939		236939
19072	COMPLEX DECISIONS AND THE BRAIN: AN EXPERIMENTAL AND THEORETICAL APPROACH		NEI	8142504	4R00EY019072-03	4	R00	EY	3			6357328	CHURCHLAND, ANNE KATHRYN	CHURCHLAND, ANNE KATHRYN	39	Not Applicable	Cold Spring Harbor	 	2010	248999		248999
20077	COMPONENT ANALYSIS OF MOTIVATIONAL INTERVIEWING		NIAAA	8718944	7R01AA020077-04	7	R01	AA	4			1878158	MORGENSTERN, JON 	MORGENSTERN, JON		Not Applicable	Feinstein Institute	 	2014	662075		662075
4557	COMPREHENSIVE CHARACTERIZATION AND CLASSIFICATION OF THE HUMAN TRANSCRIPTOME	Any	NHGRI	8298287	3U54HG004557-05S1	3	U54	HG	5	S1		1901890	GINGERAS, THOMAS RAYMOND	GINGERAS, THOMAS RAYMOND	7	Not Applicable	Cold Spring Harbor	 	2011	2734037		2734037
4557	COMPREHENSIVE CHARACTERIZATION AND CLASSIFICATION OF THE HUMAN TRANSCRIPTOME	Any	NHGRI	7888389	5U54HG004557-05	5	U54	HG	5			1901890	GINGERAS, THOMAS RAYMOND	GINGERAS, THOMAS RAYMOND	7	Not Applicable	Cold Spring Harbor	 	2010	2734037		2734037
168409	COMPUTATIONAL AND FUNCTIONAL APPROACHES TO VALIDATING CANCER GENOME TARGETS	Any;Tech	NCI	8874159	5U01CA168409-04	5	U01	CA	4			1939923	POWERS, SCOTT 	POWERS, SCOTT	22	Not Applicable	Cold Spring Harbor	 	2015	1420487		1420487
168409	COMPUTATIONAL AND FUNCTIONAL APPROACHES TO VALIDATING CANCER GENOME TARGETS	Any;Tech	NCI	8660049	5U01CA168409-03	5	U01	CA	3			1939923	POWERS, SCOTT 	POWERS, SCOTT	22	Not Applicable	Cold Spring Harbor	 	2014	1397036		1397036
168409	COMPUTATIONAL AND FUNCTIONAL APPROACHES TO VALIDATING CANCER GENOME TARGETS	Any;Tech	NCI	8464686	5U01CA168409-02	5	U01	CA	2			1939923	POWERS, SCOTT 	POWERS, SCOTT	22	Not Applicable	Cold Spring Harbor	 	2013	1307258		1307258
168409	COMPUTATIONAL AND FUNCTIONAL APPROACHES TO VALIDATING CANCER GENOME TARGETS	Any;Tech	NCI	8593329	3U01CA168409-01S1	3	U01	CA	1	S1		1939923	POWERS, SCOTT 	POWERS, SCOTT	22	Not Applicable	Cold Spring Harbor	 	2013	250000		250000
168409	COMPUTATIONAL AND FUNCTIONAL APPROACHES TO VALIDATING CANCER GENOME TARGETS	Any;Tech	NCI	8323765	1U01CA168409-01	1	U01	CA	1			1939923	POWERS, SCOTT 	POWERS, SCOTT	22	Not Applicable	Cold Spring Harbor	 	2012	1405573		1405573
188590	COMPUTATIONAL FRAMEWORK FOR SINGLE-CELL GENOMICS OF TUMORS	Any	NCI	8875279	1U01CA188590-01A1	1	U01	CA	1	A1		10294187	KRASNITZ, ALEXANDER  	KRASNITZ, ALEXANDER	15	WIGLER, MICHAEL H	Cold Spring Harbor	 	2015	305558		305558
102192	COMPUTATIONAL METHODS FOR HUMAN GENOMIC DATA INTEGRATION: DEMOGRAPHY;SELECTION;		NIGMS	8827375	5R01GM102192-04	5	R01	GM	4			9971733	SIEPEL, ADAM CHARLES	SIEPEL, ADAM CHARLES	24	Not Applicable	Cold Spring Harbor	 	2015	358002		358002
102192	COMPUTATIONAL METHODS FOR HUMAN GENOMIC DATA INTEGRATION: DEMOGRAPHY;SELECTION;		NIGMS	8956758	7R01GM102192-03	7	R01	GM	3			9971733	SIEPEL, ADAM CHARLES	SIEPEL, ADAM CHARLES	24	Not Applicable	Cold Spring Harbor	 	2014	33193		33193
8161	CONTINUED DEVELOPMENT AND MAINTENANCE OF THE PHAST SOFTWARE FOR COMPARATIVE GENOMICS		NHGRI	8797493	1R01HG008161-01	1	R01	HG	1			9971733	SIEPEL, ADAM CHARLES	SIEPEL, ADAM CHARLES	24	Not Applicable	Cold Spring Harbor	 	2015	192000		192000
114897	CONTROL OF E1 OLIGOMERIZATION REGULATES E1 FUNCTION IN PAPILLOMAVIRUS DNA REPLICATION	Cervical;Head & Neck	NIAID	8964801	1R01AI114897-01A1	1	R01	AI	1	A1		2452531	STENLUND, ARNE 	STENLUND, ARNE	27	Not Applicable	Cold Spring Harbor	 	2015	504989		504989
13106	CORE A	Any;Admin	NCI	8788917	5P01CA013106-44	5	P01	CA	44		5753	1924153	HANNON, GREGORY J	HANNON, GREGORY J	10	Not Applicable	Cold Spring Harbor	 	2015		235686	235686
13106	CORE A	Any;Admin	NCI	8744362	5P01CA013106-43	5	P01	CA	43		5753	1924153	HANNON, GREGORY J	HANNON, GREGORY J	10	Not Applicable	Cold Spring Harbor	 	2014		192607	192607
13106	CORE A	Any;Admin	NCI	8744322	5P01CA013106-42	5	P01	CA	42		5753	1924153	HANNON, GREGORY J	HANNON, GREGORY J	10	Not Applicable	Cold Spring Harbor	 	2013		214252	214252
13106	CORE B	Any	NCI	8788918	5P01CA013106-44	5	P01	CA	44		5754	1924153	HANNON, GREGORY J	HANNON, GREGORY J	10	Not Applicable	Cold Spring Harbor	 	2015		379315	379315
13106	CORE B	Any	NCI	8744363	5P01CA013106-43	5	P01	CA	43		5754	1924153	HANNON, GREGORY J	HANNON, GREGORY J	10	Not Applicable	Cold Spring Harbor	 	2014		347406	347406
13106	CORE B	Any	NCI	8744323	5P01CA013106-42	5	P01	CA	42		5754	1924153	HANNON, GREGORY J	HANNON, GREGORY J	10	Not Applicable	Cold Spring Harbor	 	2013		349822	349822
13106	CORE C	Any	NCI	8788919	5P01CA013106-44	5	P01	CA	44		5755	9642804	EGEBLAD, MIKALA 	EGEBLAD, MIKALA	4	Not Applicable	Cold Spring Harbor	 	2015		336801	336801
13106	CORE C	Any	NCI	8744364	5P01CA013106-43	5	P01	CA	43		5755	9642804	EGEBLAD, MIKALA 	EGEBLAD, MIKALA	4	Not Applicable	Cold Spring Harbor	 	2014		310752	310752
13106	CORE C	Any	NCI	8744324	5P01CA013106-42	5	P01	CA	42		5755	9642804	EGEBLAD, MIKALA 	EGEBLAD, MIKALA	4	Not Applicable	Cold Spring Harbor	 	2013		312305	312305
13106	CORE D	Any;Tech	NCI	8788920	5P01CA013106-44	5	P01	CA	44		5756	1939923	POWERS, SCOTT 	POWERS, SCOTT	22	Not Applicable	Cold Spring Harbor	 	2015		459844	459844
13106	CORE D	Any;Tech	NCI	8744365	5P01CA013106-43	5	P01	CA	43		5756	1939923	POWERS, SCOTT 	POWERS, SCOTT	22	Not Applicable	Cold Spring Harbor	 	2014		434199	434199
13106	CORE D	Any;Tech	NCI	8744325	5P01CA013106-42	5	P01	CA	42		5756	1939923	POWERS, SCOTT 	POWERS, SCOTT	22	Not Applicable	Cold Spring Harbor	 	2013		425521	425521
18535	CORTICAL-SUBCORTICAL INTERACTION IN PARKINSON'S DISEASE AND NORMAL SPEECH		NCRR	8167226	5M01RR018535-08	5	M01	RR	8		7085	1860599	EIDELBERG, DAVID 	EIDELBERG, DAVID		Not Applicable	Feinstein Institute	 	2010		1695	1695
96687	COUPLED DNA REPLICATION AND NUCLEOSOME DISASSEMBLY	Any	NIGMS	8410592	5F32GM096687-03	5	F32	GM	3			10449248	JANSEN, JACLYN MARIE	JANSEN, JACLYN MARIE		Not Applicable	Cold Spring Harbor	 	2013	13528		13528
96687	COUPLED DNA REPLICATION AND NUCLEOSOME DISASSEMBLY	Any	NIGMS	8209984	5F32GM096687-02	5	F32	GM	2			10449248	JANSEN, JACLYN MARIE	JANSEN, JACLYN MARIE		Not Applicable	Cold Spring Harbor	 	2012	47756		47756
96687	COUPLED DNA REPLICATION AND NUCLEOSOME DISASSEMBLY	Any	NIGMS	8059931	1F32GM096687-01	1	F32	GM	1			10449248	JANSEN, JACLYN MARIE	JANSEN, JACLYN MARIE		Not Applicable	Cold Spring Harbor	 	2011	48398		48398
92928	CRCNS:  COMPUTATIONAL MODEL FOR NEURAL STEM CELL DIVISIONS IN THE ADULT BRAIN		NIMH	8440364	5R01MH092928-04	5	R01	MH	4			8569429	KOULAKOV, ALEXEI  	KOULAKOV, ALEXEI	47	ENIKOLOPOV, GRIGORI N	Cold Spring Harbor	 	2013	342047		342047
92928	CRCNS:  COMPUTATIONAL MODEL FOR NEURAL STEM CELL DIVISIONS IN THE ADULT BRAIN		NIMH	8259207	5R01MH092928-03	5	R01	MH	3			8569429	KOULAKOV, ALEXEI  	KOULAKOV, ALEXEI	47	ENIKOLOPOV, GRIGORI N	Cold Spring Harbor	 	2012	356621		356621
92928	CRCNS:  COMPUTATIONAL MODEL FOR NEURAL STEM CELL DIVISIONS IN THE ADULT BRAIN		NIMH	8111273	5R01MH092928-02	5	R01	MH	2			8569429	KOULAKOV, ALEXEI  	KOULAKOV, ALEXEI	47	ENIKOLOPOV, GRIGORI N	Cold Spring Harbor	 	2011	334485		334485
92928	CRCNS:  COMPUTATIONAL MODEL FOR NEURAL STEM CELL DIVISIONS IN THE ADULT BRAIN		NIMH	8055683	1R01MH092928-01	1	R01	MH	1			8569429	KOULAKOV, ALEXEI 	KOULAKOV, ALEXEI	47	Not Applicable	Cold Spring Harbor	 	2010	348000		348000
