Serial.Number	Project.Title	Tumor.Type	Administering..IC	Application.ID	Project.Number	Type	Activity	IC	Support.Year	Suffix	Subproject.Number	Contact.PI..Person.ID	Contact.PI...Project.Leader	PI.Trim	MemberID	Other.PI.or.Project.Leader.s.	Organization.Name	ARRA.Indicator	FY	FY.Total.Cost	FY.Total.Cost...Sub.Projects.	FY.Total
152249	DISSECTING THE ROLES OF STELLATE CELLS IN PANCREAS CANCER PROGRESSION		NCI	8080900	5R21CA152249-02	5	R21	CA	2		NA	8646666	PROVENZANO, PAOLO  	PROVENZANO, PAOLO	NA	HINGORANI, SUNIL R	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	222790	NA	222790
3	GENETIC INSTABILITY		NCI	8293345	5P01CA091955-10	5	P01	CA	10		3	1871292	RABINOVITCH, PETER S	RABINOVITCH, PETER S	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	311329	311329
47	RESISTANCE AND RELAPSE IN CHRONIC MYELOID LEUKEMIA		NCI	8277820	5P01CA018029-36	5	P01	CA	36		47	9253364	RADICH, JERALD PATRICK	RADICH, JERALD PATRICK	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	354401	354401
82791	QUANTITATIVE MODELS AND METHODS FOR GENETIC ORGANIZATION		NIDDK	8102977	5K25DK082791-03	5	K25	DK	3		NA	9313706	RAJAPAKSE, INDIKA 	RAJAPAKSE, INDIKA	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	127063	NA	127063
8456	NUCLEAR MEDICINE CORE		NCI	8131415	2P01CA044991-23A1	2	P01	CA	23	A1	8456	7906287	RAJENDRAN, JOSEPH G	RAJENDRAN, JOSEPH G	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	631694	631694
82783	GENERATING IPS CELLS BY REPROGRAMMING USING SMALL MOLECULES		NIDDK	8013074	5K08DK082783-03	5	K08	DK	3		NA	8926526	RAMAKRISHNAN, ARAVIND 	RAMAKRISHNAN, ARAVIND	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	129870	NA	129870
125231	A MULTI-STATE STUDY OF CANCER TREATMENT AND OUTCOMES AMONG AMERICAN INDIANS		NCI	8113872	5R01CA125231-05	5	R01	CA	5		NA	1886032	RAMSEY, SCOTT D	RAMSEY, SCOTT D	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	284400	NA	284400
1	CLONAL EVOLUTION		NCI	8293343	5P01CA091955-10	5	P01	CA	10		1	1863901	REID, BRIAN J	REID, BRIAN J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	600048	600048
9003	LEADERSHIP		NCI	8293346	5P01CA091955-10	5	P01	CA	10		9003	1863901	REID, BRIAN J	REID, BRIAN J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	132941	132941
91955	BARRETT'S ESOPHAGUS: PREDICTORS OF PROGRESSION		NCI	8100334	5P01CA091955-10	5	P01	CA	10		NA	1863901	REID, BRIAN J	REID, BRIAN J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	2409239	NA	2409239
5152	GWAS OF HORMONE TREATMENT AND CVD AND METABOLIC OUTCOMES IN THE WHI		NHGRI	8126385	5U01HG005152-03	5	U01	HG	3		NA	1973161	REINER, ALEXANDER P	REINER, ALEXANDER P	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	972278	NA	972278
49	TARGETING ALLOREACTIVITY FOR LEUKEMIA ERADICATION		NCI	8277822	5P01CA018029-36	5	P01	CA	36		49	9253386	RIDDELL, STANLEY R.	RIDDELL, STANLEY R.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	561787	561787
53193	CD8+ T CELL IMMUNITY TO CYTOMEGALOVIRUS		NIAID	8013814	5R01AI053193-08	5	R01	AI	8		NA	2183197	RIDDELL, STANLEY R.	RIDDELL, STANLEY R.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	499674	NA	499674
114536	STRATEGIES TO IMPROVE THE ADOPTIVE TRANSFER OF T CELLS		NCI	8105079	5R01CA114536-07	5	R01	CA	7		NA	2183197	RIDDELL, STANLEY R.	RIDDELL, STANLEY R.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	445138	NA	445138
136551	TARGETED THERAPY OF ALL WITH GENE-MODIFIED CENTRAL MEMORY T CELLS		NCI	8091371	5R01CA136551-03	5	R01	CA	3		NA	2183197	RIDDELL, STANLEY R. 	RIDDELL, STANLEY R.	NA	JENSEN, MICHAEL C	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	543264	NA	543264
6618	TARGETED IMMUNOTHERAPY OF BREAST CANCER WITH CENTRAL MEMORY T CELLS		NCI	8330198	5P50CA138293-02	5	P50	CA	2		6618	2183197	RIDDELL, STANLEY R.	RIDDELL, STANLEY R.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	337324	337324
131425	NORMAL AND CANCER STEM CELLS OF THE MAMMARY GLAND		NCI	8193136	4R01CA131425-03	4	R01	CA	3		NA	1862412	ROHRSCHNEIDER, LARRY RAY	ROHRSCHNEIDER, LARRY RAY	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	487629	NA	487629
51186	GROWTH CONTROL IN THE DROSOPHILA MIDGUT		NIGMS	8046327	5R01GM051186-17	5	R01	GM	17		NA	1862412	ROHRSCHNEIDER, LARRY RAY	ROHRSCHNEIDER, LARRY RAY	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	431244	NA	431244
150036	THE ROLE OF COORDINATING CENTERS IN COLLABORATIVE CANCER-EPIDEMIOLOGY STUDIES		NCI	8050602	1R03CA150036-01A1	1	R03	CA	1	A1	NA	9891076	ROLLAND, BETSY ANN 	ROLLAND, BETSY ANN	NA	LEE, CHARLOTTE 	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	92933	NA	92933
8301	APTAMER &DENDRIMER DELIVERY OF ZN FINGER NUCLEASE &HOMING ENDONUCLEASE MRNA &CDNA		NIAID	8202343	1U19AI096111-01	1	U19	AI	1		8301	1872778	ROSSI, JOHN JOSEPH	ROSSI, JOHN JOSEPH	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	217844	217844
79273	STARVATION MEDIATED LONGEVITY IN C. ELEGANS ADULTS		NIDDK	8066586	5R01DK079273-03	5	R01	DK	3		NA	1859375	ROTH, MARK B	ROTH, MARK B	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	368136	NA	368136
68328	LYMPH NODE ALTERATIONS IN CANCER		NCI	8063168	5R01CA068328-14	5	R01	CA	14		NA	1868068	RUDDELL, M ALANNA	RUDDELL, M ALANNA	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	357254	NA	357254
54423	GENETIC REQUIREMENTS OF HELICOBACTER PYLORI INFECTION		NIAID	8099744	5R01AI054423-08	5	R01	AI	8		NA	1977859	SALAMA, NINA REDA	SALAMA, NINA REDA	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	520175	NA	520175
8824	ALLOGENEIC HCT FOR HEMATOLOGIC MALIGNANCIES: IMMUNE MANIPULATIONS		NCI	8240005	5P01CA078902-13	5	P01	CA	13		8824	1885528	SANDMAIER, BRENDA MARIE	SANDMAIER, BRENDA MARIE	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	199973	199973
NA	TAS::75 0849::TAS SURVEILLANCE; EPIDEMIOLOGY; AND END RESULTS (SEER) PROGRAM		NCI	8317510	261201000029C-5-0-2	NA	N01		NA		NA	11064688	SCHWARTZ, STEPHEN 	SCHWARTZ, STEPHEN	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	68790	NA	68790
NA	TAS::75 0849::TAS SURVEILLANCE; EPIDEMIOLOGY; AND END RESULTS (SEER) PROGRAM		NCI	8317509	261201000029C-5-0-1	NA	N01		NA		NA	11064688	SCHWARTZ, STEPHEN 	SCHWARTZ, STEPHEN	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	3436571	NA	3436571
10	IMMUNOGENETICS OF HPV-RELATED CANCERS		NCI	8307529	5P01CA042792-23	5	P01	CA	23		10	6658059	SCHWARTZ, STEPHEN MARK	SCHWARTZ, STEPHEN MARK	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	275042	275042
84054	IMPROVING ALLOGENIC TRANSPLANT OUTCOMES IN MYELOID MALIGNANCIES		NHLBI	8013319	5K23HL084054-05	5	K23	HL	5		NA	8039235	SCOTT, BART L	SCOTT, BART L	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	136485	NA	136485
108807	THE STRONGWOMEN HEALTHY HEARTS FOLLOW-UP STUDY: INDIVIDUAL; LEADERSHIP; AND BUILT		NHLBI	8150709	1K01HL108807-01	1	K01	HL	1		NA	9911025	SEGUIN, REBECCA ANNE	SEGUIN, REBECCA ANNE	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	135675	NA	135675
8823	IDENTIFICATION OF CANINE MINOR HISTOCOMPATIBILITY ANTIGENS		NCI	8240004	5P01CA078902-13	5	P01	CA	13		8823	9018335	SHENDURE, JAY ASHOK	SHENDURE, JAY ASHOK	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	312849	312849
79582	SHWACHMAN-DIAMOND SYNDROME: MOLECULAR PATHOGENESIS		NHLBI	8082714	5R01HL079582-10	5	R01	HL	10		NA	1890123	SHIMAMURA, AKIKO 	SHIMAMURA, AKIKO	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	440000	NA	440000
143714	INHIBITION OF B-CATENIN SIGNALING FOR TREATMENT OF HEPATOCELLULAR CARCINOMA		NCI	8078972	5R21CA143714-02	5	R21	CA	2		NA	1921608	SIMON, JULIAN A.	SIMON, JULIAN A.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	185658	NA	185658
9807	CHEMOPROTECTION AGAINST AMINOGLYCOSIDE-INDUCED OTOTOXICITY		NIDCD	8118073	5R01DC009807-03	5	R01	DC	3		NA	1921608	SIMON, JULIAN A.	SIMON, JULIAN A.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	346298	NA	346298
31693	MOLECULAR ANALYSIS OF HOTSPOTS OF GENETIC RECOMBINATION		NIGMS	8105506	5R01GM031693-29	5	R01	GM	29		NA	1889950	SMITH, GERALD R	SMITH, GERALD R	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	742797	NA	742797
32194	MOLECULAR MECHANISMS OF GENETIC RECOMBINATION		NIGMS	8091213	5R01GM032194-29	5	R01	GM	29		NA	1889950	SMITH, GERALD R	SMITH, GERALD R	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	401828	NA	401828
88021	IMPACT OF COMORBIDITIES ON OUTCOMES OF ALLOGENEIC TRANSPLANTATION		NHLBI	8166090	4R00HL088021-03	4	R00	HL	3		NA	8619084	SORROR, MOHAMED 	SORROR, MOHAMED	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	249000	NA	249000
52319	T CELL MODULATION BY NKG2D		NIAID	8131778	5R01AI052319-08	5	R01	AI	8		NA	1891730	SPIES, THOMAS 	SPIES, THOMAS	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	431244	NA	431244
1	P-1:  GENETIC SUSCEPTIBILITY TO CLINICALLY AGGRESSIVE PROSTATE CANCER		NCI	8330636	5P50CA097186-10	5	P50	CA	10		1	9257657	STANFORD, JANET L	STANFORD, JANET L	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	175264	175264
153111	PLASMA VITAMIN D LEVELS AND PROSTATE CANCER OUTCOMES		NCI	8106146	5R03CA153111-02	5	R03	CA	2		NA	1939896	STANFORD, JANET L	STANFORD, JANET L	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	85360	NA	85360
139256	IRF8 AS A BIOMARKER OF AGING; MALIGNANT TRANSFORMATION; AND AML PROGNOSIS		NCI	8006437	5R21CA139256-02	5	R21	CA	2		NA	2046369	STIREWALT, DEREK L	STIREWALT, DEREK L	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	230091	NA	230091
133833	STRUCTURAL AND BIOPHYSICAL CHARACTERIZATION OF ENGINEERED HOMING ENDONUCLEASES (C		NCI	8078899	5RL1CA133833-05	5	RL1	CA	5		NA	1859097	STODDARD, BARRY L.	STODDARD, BARRY L.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	427160	NA	427160
49857	STRUCTURE; FUNCTION AND ENGINEERING OF NUCLEASE CATALYSTS		NIGMS	8038697	2R01GM049857-16A2	2	R01	GM	16	A2	NA	1859097	STODDARD, BARRY L.	STODDARD, BARRY L.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	369158	NA	369158
44	NONMYELOABLATIVE HEMATOPOIETIC CELL ALLOTRANSPLANTS		NCI	8277817	5P01CA018029-36	5	P01	CA	36		44	1875723	STORB, RAINER F.	STORB, RAINER F.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	463879	463879
8822	ESTABLISHING MIXED HEMATOPOIETIC CHIMERISM IN A CANINE MODEL		NCI	8240003	5P01CA078902-13	5	P01	CA	13		8822	1875723	STORB, RAINER F.	STORB, RAINER F.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	688758	688758
8828	ADMINISTRATIVE SERVICES		NCI	8240009	5P01CA078902-13	5	P01	CA	13		8828	1875723	STORB, RAINER F.	STORB, RAINER F.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	144379	144379
78902	MIXED HEMATOPOIETIC CHIMERISM AFTER STEM CELL ALLOGRAFTS		NCI	8067936	5P01CA078902-13	5	P01	CA	13		NA	1875723	STORB, RAINER F.	STORB, RAINER F.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	1909490	NA	1909490
9003	BIOSTATISTICS CORE		NCI	8277823	5P01CA018029-36	5	P01	CA	36		9003	9253393	STORER, BARRY E.	STORER, BARRY E.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	697973	697973
8826	BIOSTATISTICS AND DATA MANAGEMENT		NCI	8240007	5P01CA078902-13	5	P01	CA	13		8826	1969094	STORER, BARRY E.	STORER, BARRY E.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	261159	261159
160684	INTERNET STUDIES TO ENHANCE LONG TERM SURVIVORSHIP AFTER HEMATOLOGIC MALIGNANCY		NCI	8160091	1R01CA160684-01	1	R01	CA	1		NA	1883979	SYRJALA, KAREN LESLIE	SYRJALA, KAREN LESLIE	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	739116	NA	739116
7967	CLINICAL IMPLICATION OF THE ACQUISITION OF BRCA1/2 FUNCTION IN BRCA1/2-DEFLCIENT		NCI	8322538	5P50CA083636-13	5	P50	CA	13		7967	8544861	TANIGUCHI, TOSHIYASU  	TANIGUCHI, TOSHIYASU	NA	SWISHER, ELIZABETH MARY	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	257007	257007
125636	THE FANCONI ANEMIA-BRCA PATHWAY AND CHEMOSENSITIVITY OF HUMAN CANCER		NCI	8076390	5R01CA125636-05	5	R01	CA	5		NA	8544861	TANIGUCHI, TOSHIYASU 	TANIGUCHI, TOSHIYASU	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	310947	NA	310947
45113	LINEAGE DETERMINATION IN MUSCLE		NIAMS	8065881	5R01AR045113-14	5	R01	AR	14		NA	1859851	TAPSCOTT, STEPHEN J	TAPSCOTT, STEPHEN J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	367995	NA	367995
45203	D4Z4 CODING TRANSCRIPTS AND FSHD		NIAMS	8019025	5R01AR045203-12	5	R01	AR	12		NA	1859851	TAPSCOTT, STEPHEN J	TAPSCOTT, STEPHEN J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	372742	NA	372742
56949	PRECLINICAL GENE THERAPY STUDIES IN CANINE MUSCULAR DYSTROPHY		NIAMS	8101829	5R01AR056949-03	5	R01	AR	3		NA	1859851	TAPSCOTT, STEPHEN J	TAPSCOTT, STEPHEN J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	687648	NA	687648
6883	RNA REGULATION IN FSHD		NINDS	8232181	5P01NS069539-02	5	P01	NS	2		6883	1859851	TAPSCOTT, STEPHEN J	TAPSCOTT, STEPHEN J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	309328	309328
6888	ADMINISTRATIVE CORE		NINDS	8232185	5P01NS069539-02	5	P01	NS	2		6888	1859851	TAPSCOTT, STEPHEN J	TAPSCOTT, STEPHEN J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	80761	80761
69539	THE PATHOGENESIS OF FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY		NINDS	8061959	5P01NS069539-02	5	P01	NS	2		NA	1859851	TAPSCOTT, STEPHEN J	TAPSCOTT, STEPHEN J	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	1218485	NA	1218485
6886	FSHD BIORESOURCES CORE		NINDS	8232184	5P01NS069539-02	5	P01	NS	2		6886	1975615	TAWIL, RABI 	TAWIL, RABI	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	123653	123653
134245	EVALUATION OF A HEPATITIS B OUTREACH INTERVENTION FOR CAMBODIANS		NCI	8110050	5R01CA134245-04	5	R01	CA	4		NA	1883983	TAYLOR, VICTORIA M	TAYLOR, VICTORIA M	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	13756	NA	13756
159908	HPV VACCINATION IN THE CAMBODIAN COMMUNITY		NCI	8133619	1R21CA159908-01	1	R21	CA	1		NA	1883983	TAYLOR, VICTORIA M	TAYLOR, VICTORIA M	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	191400	NA	191400
7966	MICRORNA SIGNATURE OF POORLY RESECTABLE OVARIAN CANCER		NCI	8322537	5P50CA083636-13	5	P50	CA	13		7966	7051106	TEWARI, MUNEESH  	TEWARI, MUNEESH	NA	DRESCHER, CHARLES ;GENTLEMAN, ROBERT C	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	200810	200810
85714	RNA AS A HORMONE: SYSTEMIC SIGNALING IN MAMMALS VIA CIRCULATING; CELL-FREE SMALL		NIDDK	8309700	5R01DK085714-03	5	R01	DK	3		NA	7051106	TEWARI, MUNEESH 	TEWARI, MUNEESH	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	682561	NA	682561
85714	RNA AS A HORMONE: SYSTEMIC SIGNALING IN MAMMALS VIA CIRCULATING; CELL-FREE SMALL		NIDDK	8202235	3R01DK085714-02S1	3	R01	DK	2	S1	NA	7051106	TEWARI, MUNEESH 	TEWARI, MUNEESH	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	3520	NA	3520
41579	A GENOME-WIDE APPROACH TO IDENTIFY THE LIMITATIONS OF LIFE SPAN		NIA	8254725	1F31AG041579-01	1	F31	AG	1		NA	10872204	THAYER, NATHANIEL 	THAYER, NATHANIEL	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	33890	NA	33890
132381	PARTNERSHIP FOR THE ADVANCEMENT OF CANCER RESEARCH: NMSU-FHCRC (2 OF 2)		NCI	8335655	3U54CA132381-05S1	3	U54	CA	5	S1	NA	1860749	THOMPSON, BETI 	THOMPSON, BETI	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	170000	NA	170000
9001	DEVELOPMENT CORE		NCI	8324489	5U54CA132381-05	5	U54	CA	5		9001	1860749	THOMPSON, BETI 	THOMPSON, BETI	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	876605	876605
9002	PLANNING AND EVALUATION CORE		NCI	8324490	5U54CA132381-05	5	U54	CA	5		9002	1860749	THOMPSON, BETI 	THOMPSON, BETI	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	87280	87280
132381	PARTNERSHIP FOR THE ADVANCEMENT OF CANCER RESEARCH: NMSU-FHCRC (2 OF 2)		NCI	8132227	5U54CA132381-05	5	U54	CA	5		NA	1860749	THOMPSON, BETI 	THOMPSON, BETI	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	793885	NA	793885
148143	UNDERSTANDING AND PREVENTING BREAST CANCER DISPARTIES IN LATINAS		NCI	8319024	3P50CA148143-02S1	3	P50	CA	2	S1	NA	1860749	THOMPSON, BETI 	THOMPSON, BETI	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	76560	NA	76560
6187	ADMINISTRATIVE		NCI	8296075	5P50CA148143-02	5	P50	CA	2		6187	1860749	THOMPSON, BETI 	THOMPSON, BETI	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	120149	120149
6191	TRAINING AND CAREER DEVELOPMENT		NCI	8296078	5P50CA148143-02	5	P50	CA	2		6191	1860749	THOMPSON, BETI 	THOMPSON, BETI	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	14052	14052
148143	UNDERSTANDING AND PREVENTING BREAST CANCER DISPARTIES IN LATINAS		NCI	8068363	5P50CA148143-02	5	P50	CA	2		NA	1860749	THOMPSON, BETI 	THOMPSON, BETI	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	1820722	NA	1820722
7874	TRAINING PROGRAM		NCI	8326537	5U54CA153502-02	5	U54	CA	2		7874	1860749	THOMPSON, BETI 	THOMPSON, BETI	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	17343	17343
7875	COMMUNITY OUTREACH PROGRAM		NCI	8326538	5U54CA153502-02	5	U54	CA	2		7875	1860749	THOMPSON, BETI 	THOMPSON, BETI	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	121809	121809
7876	ADMINISTRATIVE CORE		NCI	8326539	5U54CA153502-02	5	U54	CA	2		7876	1860749	THOMPSON, BETI 	THOMPSON, BETI	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	NA	114057	114057
153502	CENTER FOR HISPANIC HEALTH PROMOTION: REDUCING CANCER DISPARITIES		NCI	8136637	5U54CA153502-02	5	U54	CA	2		NA	1860749	THOMPSON, BETI 	THOMPSON, BETI	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	783675	NA	783675
1621	PARTNERSHIP FOR A HISPANIC DIABETES PREVENTION PROGRAM		NIMHD	8223808	3R24MD001621-07S1	3	R24	MD	7	S1	NA	1860749	THOMPSON, BETI 	THOMPSON, BETI	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	61805	NA	61805
1621	PARTNERSHIP FOR A HISPANIC DIABETES PREVENTION PROGRAM		NIMHD	8039264	5R24MD001621-07	5	R24	MD	7		NA	1860749	THOMPSON, BETI 	THOMPSON, BETI	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	545759	NA	545759
116850	TREC COORDINATION CENTER		NCI	8036462	2U01CA116850-06	2	U01	CA	6		NA	6600395	THORNQUIST, MARK 	THORNQUIST, MARK	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	1619055	NA	1619055
116850	TREC COORDINATION CENTER		NCI	8240271	3U01CA116850-05S2	3	U01	CA	5	S2	NA	6600395	THORNQUIST, MARK 	THORNQUIST, MARK	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	150000	NA	150000
56465	CORE CENTER OF EXCELLENCE IN HEMATOLOGY		NIDDK	8325284	3P30DK056465-13S1	3	P30	DK	13	S1	NA	1877076	TOROK-STORB, BEVERLY J.	TOROK-STORB, BEVERLY J.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	31428	NA	31428
56465	CORE CENTER OF EXCELLENCE IN HEMATOLOGY		NIDDK	8150916	5P30DK056465-13	5	P30	DK	13		NA	1877076	TOROK-STORB, BEVERLY J.	TOROK-STORB, BEVERLY J.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	957025	NA	957025
99993	CONTROLLING HEMATOPOIETIC LINEAGE COMMITMENT FROM ESC TO PLATELETS		NHLBI	8319293	3U01HL099993-03S2	3	U01	HL	3	S2	NA	1877076	TOROK-STORB, BEVERLY J.	TOROK-STORB, BEVERLY J.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	6952	NA	6952
99993	CONTROLLING HEMATOPOIETIC LINEAGE COMMITMENT FROM ESC TO PLATELETS		NHLBI	8319290	3U01HL099993-03S1	3	U01	HL	3	S1	NA	1877076	TOROK-STORB, BEVERLY J.	TOROK-STORB, BEVERLY J.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	6952	NA	6952
99993	CONTROLLING HEMATOPOIETIC LINEAGE COMMITMENT FROM ESC TO PLATELETS		NHLBI	8105338	5U01HL099993-03	5	U01	HL	3		NA	1877076	TOROK-STORB, BEVERLY J.	TOROK-STORB, BEVERLY J.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	1182659	NA	1182659
58465	MECHANISMS AND FUNCTIONS OF ATP-DEPENDENT CHROMATIN REMODELING		NIGMS	8101879	5R01GM058465-13	5	R01	GM	13		NA	2261585	TSUKIYAMA, TOSHIO 	TSUKIYAMA, TOSHIO	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	489242	NA	489242
78259	REGULATION OF DNA REPLICATION BY HISTONE MODIFICATIONS		NIGMS	8118450	5R01GM078259-06	5	R01	GM	6		NA	2261585	TSUKIYAMA, TOSHIO 	TSUKIYAMA, TOSHIO	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	290440	NA	290440
154608	QUIESCENT TC17 PROGRAMMED CD8 T CELLS AND THEIR ROLE IN GRAFT VERSUS HOST DISEASE		NCI	8185834	1K99CA154608-01A1	1	K99	CA	1	A1	NA	10123243	TURTLE, CAMERON JOHN	TURTLE, CAMERON JOHN	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	169755	NA	169755
120523	A PROSPECTIVE STUDY OF COLORECTAL CANCER: ONE-CARBON METABOLISM AND INFLAMMATION		NCI	8051682	5R01CA120523-04	5	R01	CA	4		NA	6489774	ULRICH, CORNELIA M.	ULRICH, CORNELIA M.	NA	Not Applicable	FRED HUTCHINSON CANCER RESEARCH CENTER	 	2011	605656	NA	605656
