Index	Inst	Title	PI	Local PI	MemberID	Phase	Sponsor	Sponsor Type	Type	Age	Trial IDs	Tumor Type(s)
78	Fred Hutch	Iodine I 131 Monoclonal Antibody BC8, Fludarabine Phosphate, Cyclophosphamide, Total-Body Irradiation and Donor Bone Marrow Transplant in Treating Patients with Advanced Acute Myeloid Leukemia, Acute Lymphoblastic Leukemia, or High-Risk Myelodysplastic Syndrome	Johnnie Jose Orozco	Johnnie Jose Orozco		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Treatment	 18 and over	 2186.00, NCI-2010-00404, FHCRC-2186.00, NCT00589316	Leukemia; Myelodysplastic Syndrome
79	Fred Hutch	Umbilical Cord Blood Transplant, Cyclophosphamide, Fludarabine Phosphate, and Total-Body Irradiation in Treating Patients with Hematologic Disease	Colleen Delaney	Colleen Delaney		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Treatment	 6 months to 45 years	 2010.00, NCI-2010-00190, FHCRC 2010.00, Protocol 2010, 6095, NCT00719888	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
80	Fred Hutch	Donor Umbilical Cord Blood Transplant in Treating Patients with Hematologic Cancer	Rachel B. Salit	Rachel B. Salit		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Treatment	 Any age	 2239.00, NCI-2009-01551, 2239, FHCRC-2239.00, 6722, FHCRC-IR-6722, NCT00723099	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
81	Fred Hutch	Paclitaxel Albumin-Stabilized Nanoparticle Formulation and Bevacizumab Followed By Bevacizumab and Erlotinib Hydrochloride in Treating Patients With Metastatic Breast Cancer	Jennifer Marie Specht	Jennifer Marie Specht		Phase II	University of Washginton Medical Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 Not specified	 6628, NCI-2010-00041, FHCRC-6628, UWCC-6628, UWHSD# 33866, GENENTECH-FHCRC-6628, NCT00733408	Breast; Mets
82	Fred Hutch	Treosulfan, Fludarabine Phosphate, and Total-Body Irradiation in Treating Patients With Hematological Cancer Who are Undergoing Umbilical Cord Blood Transplant	Colleen Delaney	Colleen Delaney		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Treatment	 Under 65	 2275.00, NCI-2010-00299, FHCRC-2275.00, IR-6800, NCT00796068	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
83	Fred Hutch	Bendamustine Hydrochloride in Treating Patients with Recurrent or Progressive Anaplastic Glioma	Marc Charles Chamberlain	Marc Charles Chamberlain		Phase II	University of Washginton Medical Center; NCI; National Comprehensive Cancer Network	IIT; NCI; NCCN	 Treatment	 18 and over	 6803, NCI-2010-00714, UWCC-6803, FHCRC-6803, IR-6803, NCCN-C01, NCT00823797	Brain
84	Fred Hutch	Immune Response after Stem Cell Transplant in HIV-Positive Patients with Hematologic Cancer	Ann Elizabeth Woolfrey	Ann Elizabeth Woolfrey		Phase II	Fred Hutchinson Cancer Research Center; NCI; National Institute of Allergy and Infectious Disease	IIT; NCI; NIAID	 Biomarker/Laboratory analysis, Treatment	 75 and under	 2212.00, NCI-2009-01244, NCT00968630	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
85	Fred Hutch	Bortezomib and Vorinostat as Maintenance Therapy after Autologous Stem Cell Transplant in Treating Patients with Non-Hodgkin Lymphoma	Leona A. Holmberg	Leona A. Holmberg		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Treatment	 18 and over	 2292.00, NCI-2009-01302, X05287, NCT00992446	Lymphoma
86	Fred Hutch	Autologous Peripheral Blood Stem Cell Transplant Followed by Donor Bone Marrow Transplant in Treating Patients with High-Risk Hodgkin Lymphoma, Non-Hodgkin Lymphoma, Multiple Myeloma, or Chronic Lymphocytic Leukemia	Mohamed L. Sorror	Mohamed L. Sorror		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 0 to 75	 2241.00, NCI-2009-01334, NCT01008462	Leukemia; Lymphoma; Myeloma
87	Fred Hutch	Donor Peripheral Blood Stem Cell Transplant in Treating Patients with Hematologic Malignancies	Rachel B. Salit	Rachel B. Salit		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 Not specified	 2372.00, NCI-2009-01433, 2372, NCT01028716	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
88	Fred Hutch	Carmustine, Etoposide, Cytarabine, Melphalan, and Antithymocyte Globulin Followed by Peripheral Blood Stem Cell Transplant in Treating Patients With Autoimmune Neurologic Disease That Did Not Respond to Previous Therapy	George Earl Georges	George Earl Georges		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Treatment	 70 and under	 2260.00, NCI-2010-00403, FHCRC-2260.00, 6733, FHCRC-IR-6733, NCT00716066	N/A
89	Fred Hutch	Treosulfan and Fludarabine Phosphate before Donor Stem Cell Transplant in Treating Patients with Nonmalignant Inherited Disorders	Lauri M Burroughs	Lauri M Burroughs		Phase II	Fred Hutchinson Cancer Research Center; NCI; NHLBI; medac GmbH	IIT; NCI; NHLBI; Pharma	 Treatment	 Under 55	 2256.00, NCI-2010-01277, FHCRC-2256.00, IR-6935, NCT00919503	N/A
90	Fred Hutch	Low-Dose Tamoxifen Citrate in Reducing Breast Cancer Risk in Radiation-Induced Cancer Survivors	Saro H. Armenian	Larissa A. Korde		Phase II	City of Hope Comprehensive Cancer Research Center; NCI	NCI	 Biomarker/Laboratory analysis, Prevention	 25 and over	 08218, NCI-2010-01976, 115422, NCT01196936	Any
91	Fred Hutch	Sirolimus, Cyclosporine, and Mycophenolate Mofetil In Preventing Graft-Versus-Host Disease in Treating Patients with Hematologic Malignancies Undergoing Donor Peripheral Blood Stem Cell Transplant	Brenda M. Sandmaier	Brenda M. Sandmaier		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Supportive care, Treatment	 Not specified	 2206.00, NCI-2010-02222, NCT01251575	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
92	Fred Hutch	Clofarabine and Low-Dose Total-Body Irradiation in Treating Patients with Acute Myeloid Leukemia Undergoing Donor Peripheral Blood Stem Cell Transplant	Brenda M. Sandmaier	Brenda M. Sandmaier		Phase II	Brenda M. Sandmaier	Brenda M. Sandmaier	 Biomarker/Laboratory analysis, Treatment	 not specified	 2430.00, NCI-2010-02247, 2430.00A, NCT01252667	Leukemia
93	Fred Hutch	Phenelzine Sulfate and Docetaxel in Treating Patients with Prostate Cancer with Progressive Disease after First-Line Therapy with Docetaxel	Tomasz M. Beer	Peter S. Nelson		Phase II	OHSU Knight Cancer Institute; NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 IRB00005688, NCI-2010-02037, 5688, MR00045508, OHSU-5688, SOL-09105-LM, NCT01253642	Prostate
94	Fred Hutch	Bortezomib and Rituximab in Treating Patients with Mantle Cell Lymphoma Who Have Previously Undergone Stem Cell Transplantation	Robert W. Chen	Leona A. Holmberg		Phase II	City of Hope Comprehensive Cancer Research Center; NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 19 and over	 10137, NCI-2010-02343, 109117, 118601, X05337, NCT01267812	Lymphoma
95	Fred Hutch	Study of Selective BRAF Kinase Inhibitor Dabrafenib Monotherapy Twice Daily and in Combination With Dabrafenib Twice Daily and Trametinib Once Daily in Combination Therapy in Subjects With BRAF V600E Mutation Positive Metastatic (Stage IV) Non-small Cell Lung Cancer.	Christina S Baik	Christina S Baik		Phase II	GlaxoSmithKline	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 113928, NCI-2011-03522, BRF113928, NCT01336634	Lung; Mets
96	Fred Hutch	PET-Directed Therapy in Treating Patients with Limited-Stage Diffuse Large B-Cell Lymphoma	Daniel O. Persky	Oliver W. Press		Phase II	SWOG; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 S1001, NCI-2011-02673, CDR0000700624, SWOG-S1001, NCT01359592	Lymphoma
97	Fred Hutch	PI3K Inhibitor BKM120 in Treating Patients With Metastatic Castration-Resistant Prostate Cancer	Andrew J. Armstrong	Evan Ya-Wen Yu		Phase II	Duke University Medical Center; NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 Pro00027410, NCI-2013-02200, NCT01385293	Prostate; Mets
98	Fred Hutch	Rituximab, Bendamustine Hydrochloride, and Bortezomib Followed by Rituximab and Lenalidomide in Treating Patients with Previously Untreated Mantle Cell Lymphoma	Mitchell Reed Smith	Brian Gerald Till		Phase II	ECOG-ACRIN Cancer Research Group; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Supportive care, Treatment	 60 and over	 E1411, NCI-2011-02980, CDR0000707057, ECOG-E1411, NCT01415752	Lymphoma
99	Fred Hutch	Scleroderma Treatment with Autologous Transplant (STAT) Study	George Earl Georges	Bernadette A McLaughlin		Phase II	Fred Hutchinson Cancer Research Center; NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 0 to 69	 2533.00, NCI-2011-01190, NCT01413100	N/A
100	Fred Hutch	High-Dose Y-90-Ibritumomab Tiuxetan Added to Reduced-Intensity Allogeneic Stem Cell Transplant Regimen for Relapsed or Refractory Aggressive B-Cell Lymphoma	Ajay Kumar Gopal	Ajay Kumar Gopal		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Treatment	 18 and over	 2398.00, NCI-2011-01189, NCT01434472	Lymphoma
101	Fred Hutch	Trial of pIL-12 Electroporation Malignant Melanoma	Shailender Bhatia	Shailender Bhatia		Phase II	OncoSec Medical Inc	Pharma	 Treatment	 18 and over	 OMS-I100, NCI-2014-01065, 11854, NCT01502293	Melanoma
102	Fred Hutch	Combination Chemotherapy with or without Autologous Stem Cell Transplant in Treating Patients with Central Nervous System B-cell Lymphoma	Tracy T. Batchelor	Maciej Michal Mrugala		Phase II	Alliance for Clinical Trials in Oncology; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Supportive care, Treatment	 18 to 70	 CALGB 51101, NCI-2012-00110, CDR0000721927, NCT01511562	Lymphoma
103	Fred Hutch	Abiraterone Acetate in Treating Patients with Metastatic Hormone-Resistant Prostate Cancer	Robert Bruce Montgomery	Robert Bruce Montgomery		Phase II	University of Washginton Medical Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 7639, NCI-2011-03745, 0801, NCT01508234, NCT01503229	Prostate; Mets
104	Fred Hutch	Donor Atorvastatin Treatment for Preventing Severe Acute Graft-Versus-Host Disease in Patients Undergoing Myeloablative Peripheral Blood Stem Cell Transplantation	Marco Mielcarek	Marco Mielcarek		Phase II	Fred Hutchinson Cancer Research Center; NCI. National Heart Lung and Blood Institute	IIT; NCI; NHLBI	 Supportive care	 Not specified	 2545.00, NCI-2011-03827, NCT01525407	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
105	Fred Hutch	Donor Atorvastatin Treatment in Preventing Severe Acute GVHD after Nonmyeloablative Peripheral Blood Stem Cell Transplant in Patients with Hematological Malignancies	Marco Mielcarek	Marco Mielcarek		Phase II	Fred Hutchinson Cancer Research Center; NCI. National Heart Lung and Blood Institute	IIT; NCI; NHLBI	 Biomarker/Laboratory analysis, Supportive care	 0 to 75	 2546.00, NCI-2011-03828, NCT01527045	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
106	Fred Hutch	A Study To Evaluate PF-04449913 With Chemotherapy In Patients With Acute Myeloid Leukemia or Myelodysplastic Syndrome	Vivian Gudrun Oehler	Vivian Gudrun Oehler		Phase II	Pfizer Inc	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 B1371003, NCI-2012-01145, 2012-000684-24, NCT01546038	Leukemia; Myelodysplastic Syndrome
107	Fred Hutch	A Study of Pertuzumab in Combination With Herceptin (Trastuzumab) And Vinorelbine in First Line in Patients With Metastatic or Locally Advanced HER2-Positive Breast Cancer	Jennifer Marie Specht	Jennifer Marie Specht		Phase II	Hoffmann-La Roche	Pharma	 Treatment	 18 and over	 MO27782, NCI-2012-02068, 2011-003308-18, NCT01565083	Breast; Mets
108	Fred Hutch	Eribulin Mesylate in Treating Patients With Recurrent or Metastatic Salivary Gland Cancer	Renato Goncalves Martins	Renato Goncalves Martins		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Treatment	 18 and over	 7674, NCI-2012-00892, NCT01613768	Salivary Gland Cancer; Mets
109	Fred Hutch	Paclitaxel Albumin-Stabilized Nanoparticle Formulation in Treating Patients With Previously Treated Advanced Non-Small Cell Lung Cancer	Christina S Baik	Christina S Baik		Phase II	University of Washginton Medical Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 7755, NCI-2012-00865, NCT01620190	Lung
110	Fred Hutch	Donor Umbilical Cord Blood Transplant with or without Ex-Vivo Expanded Cord Blood Progenitor Cells in Treating Patients with Acute Myeloid Leukemia, Acute Lymphoblastic Leukemia, Chronic Myelogenous Leukemia, or Myelodysplastic Syndromes	Colleen Delaney	Colleen Delaney		Phase II	Fred Hutchinson Cancer Research Center; NCI. National Heart Lung and Blood Institute	IIT; NCI; NHLBI	 Treatment	 6 to 45	 2603.00, NCI-2012-01572, 2603, NCT01690520	Leukemia; Myelodysplastic Syndrome
111	Fred Hutch	A Study of DCDT2980S in Combination With MabThera/Rituxan or DCDS4501A in Combination With MabThera/Rituxan and Evaluation of Combination DCDS4501A and Obinutuzumab in Patients With Non-Hodgkin's Lymphoma	Oliver W. Press	Oliver W. Press		Phase II	Genentech Inc.	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 GO27834, NCI-2013-00539, 2011-004377-84, NCT01691898	Lymphoma
112	Fred Hutch	Capecitabine and Celecoxib with or without Radiation Therapy in Treating Patients with Colorectal Cancer That Is Newly Diagnosed or Previously Treated with Fluorouracil	Edward H. Lin	Edward H. Lin		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 7707, NCI-2012-02137, NCT01729923	Colorectal
113	Fred Hutch	Phase II Study of SPI-1620 in Combination With Docetaxel as a Second-Line to Treat Biliary Cancer	Elena Gabriela Chiorean	Elena Gabriela Chiorean		Phase II	Spectrum Pharmaceuticals Inc	Pharma	 Treatment	 18 and over	 SPI-1620-12-202, NCI-2013-01789, NCT01773785	Bile Duct
114	Fred Hutch	The Role of Highly Selective Androgen Receptor (AR) Targeted Therapy in Men With Biochemically Relapsed Hormone Sensitive Prostate Cancer	Celestia Savoye Higano	Celestia Savoye Higano		Phase II	Aragon Pharmaceuticals	Pharma	 Treatment	 18 and over	 CR103305, NCI-2013-01912, ARN-509-002, NCT01790126	Prostate
115	Fred Hutch	A Phase II Trial of MLN8237 in Patients With Metastatic Castrate Resistant and Neuroendocrine Prostate Cancer	Robert Bruce Montgomery	Robert Bruce Montgomery		Phase II	Weill Medical College of Cornell University; Millennium Pharmaceuticals, Inc.	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 1210013164, NCI-2014-01689, NCT01799278	Prostate; Mets
116	Fred Hutch	A Phase 2 of Entospletinib in Subjects With Relapsed or Refractory Hematologic Malignancies	Andrei R. Shustov	Andrei R. Shustov		Phase II	Gilead	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 GS-US-339-0102, NCI-2013-01283, NCT01799889	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
117	Fred Hutch	Tumor-Infiltrating Lymphocytes after Combination Chemotherapy in Treating Patients with Metastatic Melanoma	Sylvia Mina Lee	Sylvia Mina Lee		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 2643.00, NCI-2013-00486, NCT01807182	Melanoma; Mets
118	Fred Hutch	Chemotherapy in Treating Patients with Myelodysplastic Syndrome before Donor Stem Cell Transplant	Bart Lee Scott	Bart Lee Scott		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Supportive care, Treatment	 18 and over	 2661.00, NCI-2013-00538, 2661, NCT01812252	Myelodysplastic Syndrome
119	Fred Hutch	PEGPH20 Plus Nab-Paclitaxel Plus Gemcitabine Compared With Nab-Paclitaxel Plus Gemcitabine in Subjects With Stage IV Untreated Pancreatic Cancer	Sunil R Hingorani	Sunil R Hingorani		Phase II	Halozyme Therapeutics	Pharma	 Treatment	 18 and over	 HALO-109-202, NCI-2013-01369, NCT01839487	Pancreas; Mets
120	Fred Hutch	PF-04449913 in Treating Patients with Acute Leukemia or Myelodysplastic Syndromes at High Risk of Relapse after Donor Stem Cell Transplant	Daniel A. Pollyea	Vivian Gudrun Oehler		Phase II	University of Colorado Cancer Center - Anschutz Cancer Pavilion; NCI	NCI	 Treatment	 18 and over	 12-1558, NCI-2013-00824, 12-1558.cc, NCT01841333	Leukemia; Myelodysplastic Syndrome
121	Fred Hutch	Selective Depletion of CD45RA+ T Cells from Allogeneic Peripheral Blood Stem Cell Grafts for the Prevention of GVHD in Children	Marie Bleakley	Marie Bleakley		Phase II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Supportive care	 21 and under	 2660.00, NCI-2013-00958, NCT01858740	Leukemia
122	Fred Hutch	CYT107 with or without Vaccine Therapy in Treating Patients with Metastatic Hormone-Resistant Prostate Cancer	Lawrence Fong	Evan Ya-Wen Yu		Phase II	Cancer Immunotherapy Trials Network; NCI	Other; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 CITN12-03, NCI-2013-00998, CITN12-03 IL7, NCT01881867	Prostate; Mets
123	Fred Hutch	Treosulfan and Fludarabine Phosphate with or without Total Body Irradiation before Donor Stem Cell Transplant in Treating Patients with Myelodysplastic Syndrome or Acute Myeloid Leukemia	H. Joachim Deeg	H. Joachim Deeg		Phase II	Fred Hutchinson Cancer Research Center; NCI; National Heart Lung and Blood Institute	IIT; NCI; NHLBI	 Biomarker/Laboratory analysis, Treatment	 65 and under	 2524.00, NCI-2013-01261, 2524, NCT01894477	Leukemia; Myelodysplastic Syndrome
124	Fred Hutch	Eribulin Mesylate in Treating Patients With Previously Treated Metastatic Breast Cancer	Hannah Margaret Linden	Hannah Margaret Linden		Phase II	University of Washington Medical Center; NCI	IIT; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 8093, NCI-2013-01326, NCT01908101	Breast; Mets
125	Fred Hutch	Chemotherapy, Stem Cell Transplant, and Romidepsin in Treating Patients with T-cell Non-Hodgkin Lymphoma	Steven Michael Horwitz,	Andrei R. Shustov		Phase II	Memorial Sloan-Kettering Cancer Center; NCI	NCI	 Treatment	 Over 16	 13-020, NCI-2013-01365, NCT01908777	Lymphoma
126	Fred Hutch	Study of Letrozole With or Without BYL719 or Buparlisib, for the Neoadjuvant Treatment of Postmenopausal Women	Hannah Margaret Linden	Hannah Margaret Linden		Phase II	Novartis Pharmaceuticals Corporation	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 CBYL719A2201, NCI-2014-00149, NCT01923168	Breast
127	Fred Hutch	Enzalutamide in Treating Patients with Metastatic, Castrate-Resistant Prostate Cancer	Mary-Ellen Taplin	Robert Bruce Montgomery		Phase II	Dana-Farber Harvard Cancer Center; NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 13-301, NCI-2013-02258, NCT01942837	Prostate; Mets
128	Fred Hutch	Phase 2 Study of Alisertib (MLN8237) in Combination With Paclitaxel Versus Placebo in Combination With Paclitaxel as Second Line Therapy for Small Cell Lung Cancer (SCLC)	Christina S Baik	Christina S Baik		Phase II	Millennium Pharmaceuticals, Inc.	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 C14018, NCI-2014-00808, 2013-003713-18, DRKS00007849, U1111-1154-9805, NCT02038647	Lung
129	Fred Hutch	Phase 2, Single Arm, Open Label Study of Folotyn in Combination With Oral Leucovorin to Prevent or Reduce Mucositis in Patients With PTCL	Andrei R. Shustov	Andrei R. Shustov		Phase II	Spectrum Pharmaceuticals Inc	Pharma	 Supportive care	 18 and over	 SPI-FOL-14-201, NCI-2015-00888, NCT02106650	Lymphoma
130	Fred Hutch	Ruxolitinib in Combination With Pemetrexed/Cisplatin in Non Small Cell Lung Cancer	Christina S Baik	Christina S Baik		Phase II	Incyte Corporation	Pharma	 Treatment	 18 to 75	 INCB 18424-266, NCI-2014-01067, NCT02119650	Lung
131	Fred Hutch	Gamma Secretase Inhibitor PF-03084014 in Treating Patients with AIDS-Associated Kaposi Sarcoma	Lee Ratner	Corey Casper		Phase II	AIDS - Associated Malignancies Clinical Trials Consortium; NCI	Other; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 AMC-089, NCI-2014-00638, NCT02137564	Sarcoma
132	Fred Hutch	S1406 Irinotecan Hydrochloride and Cetuximab with or without Vemurafenib in Treating Patients with Colorectal Cancer That Is Metastatic, Locally Advanced, or Cannot Be Removed by Surgery	Edmund Scott Kopetz	Andrew Lawrence Coveler		Phase II	SWOG; NCI; Genentech Inc.	Coop Group; NCI; Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 S1406, NCI-2014-00814, NCT02164916	Colorectal; Mets
133	Fred Hutch	TIGER-1: Safety and Efficacy Study of Rociletinib (CO-1686) or Erlotinib in Patients With EGFR Mutant NSCLC Who Have Not Had Any Previous EGFR Directed Therapy	Christina S Baik	Christina S Baik		Phase II	Clovis Oncology	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 CO-1686-022 (TIGER-1), NCI-2014-02300, NCT02186301	Lung; Mets
134	Fred Hutch	Selinexor Treatment of Advanced Relapsed/Refractory Squamous Cell Carcinomas	Cristina Paguia Rodriguez	Cristina Paguia Rodriguez		Phase II	Karyopharm Therapeutics	Pharma	 Treatment	 18 and over	 KCP-330-006, NCI-2014-02188, NCT02213133	Head and Neck; Lung; Espophagus
135	Fred Hutch	An Open-label, Phase 2 Study of ACP 196 in Subjects With Mantle Cell Lymphoma	Stephen Douglas Smith	Stephen Douglas Smith		Phase II	Acerta Pharma	Pharma	 Treatment	 18 and over	 ACE-LY-004, NCI-2015-00489, NCT02213926	Lymphoma
136	Fred Hutch	Selective Depletion of CD45RA+ Naive T Cells from Allogeneic Peripheral Blood Stem Cell Grafts from HLA-Matched Related and Unrelated Donors for Prevention of GVHD	Marie Bleakley	Marie Bleakley		Phase II	Fred Hutchinson Cancer Research Center; National Heart Lung and Blood Institute; NCI	IIT; NCI; NHLBI	 Biomarker/Laboratory analysis, Treatment	 14 to 60	 2684.00, NCI-2014-01301, 2684, NCT02220985	Leukemia
137	Fred Hutch	A Phase 2, Multicenter Study in Pediatric Subjects With Relapsed or Refractory Pediatric Acute Lymphoblastic Leukemia (pALL) or Lymphoblastic Lymphoma	Blythe Grace Thomson	Blythe Grace Thomson		Phase II	MedImmune Inc	Pharma	 Biomarker/Laboratory analysis, Treatment	 6 months to less than 18 years	 CD-ON-CAT-8015-1036, NCI-2014-01939, NCT02227108	Leukemia; Lymphoma
138	Fred Hutch	JAK-2 Inhibitor before Donor Stem Cell Transplant in Treating Patients with Primary or Secondary Myelofibrosis	Rachel B. Salit	Rachel B. Salit		Phase II	Fred Hutchinson Cancer Research Center; National Heart Lung and Blood Institute; NCI	IIT; NCI; NHLBI	 Biomarker/Laboratory analysis, Treatment	 7 months and over	 9033, NCI-2014-01882, FH9033, NCT02251821	Leukemia
139	Fred Hutch	Enzalutamide and Leuprolide Acetate with or without Abiraterone Acetate and Prednisone before Surgery in Treating Patients with Intermediate or High Risk Prostate Cancer Undergoing Prostatectomy	Mary-Ellen Taplin	Robert Bruce Montgomery		Phase II	Dana-Farber Harvard Cancer Center; NCI	NCI	 Treatment	 18 and over	 14-283, NCI-2014-02363, NCT02268175	Prostate
140	Fred Hutch	A Study of Trastuzumab Emtansine in Patients With HER2 IHC-Positive, Locally Advanced or Metastatic Non-Small Cell Lung Cancer	Christina S Baik	Christina S Baik		Phase II	F Hoffmann-La Roche Limited	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 BO29389, NCI-2014-02389, 2014-001237-83, NCT02289833	Lung; Mets
141	Fred Hutch	A Phase II, Randomized, Double-blind, Placebo-controlled Study to Examine the Effects of DAS181 in Immunocompromised Subjects With Lower Respiratory Tract Parainfluenza Infection on Supplemental Oxygen	Michael Boeckh	Michael Boeckh		Phase II	Ansun BioPharma Inc	Pharma	 Treatment	 12 and over	 DAS181-2-05, NCI-2014-01331, NCT01644877	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
142	Fred Hutch	Phase II Trial of Stereotactic Body Radiotherapy Followed by Ipilimumab in Treating Patients with Stage IV Melanoma	Ramesh Rengan	Ramesh Rengan		Phase II	University of Washington Medical Center; NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 9031, NCI-2013-01757, NCT01970527	Melanoma
143	Fred Hutch	Vitamin D and Calcium Carbonate with or without Pamidronate Disodium in Preventing Bone Loss in Younger Patients Who Have Undergone Stem Cell Transplant to Treat a Hematologic Malignancy	Anna Petryk	K. Scott Baker		Phase II	University of Minnesota Medical Center-Fairview; NCI	NCI	 Biomarker/Laboratory analysis, Supportive care	 1 to 17	 2013LS023, NCI-2014-02310, 1305M34621, CTSI 21472, MT2014-23R, NCT02074631	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
144	Fred Hutch	Autologous Stem Cell Transplant Followed by Donor Stem Cell Transplant in Treating Patients with Relapsed or Refractory Lymphoma	David G. Maloney	David G. Maloney		Phase I/II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Treatment	 65 and under	 1409.00, NCI-2010-00130, FHCRC-1409.00, 4903, NCI-G00-1776, NCT00005803	Lymphoma
145	Fred Hutch	Allogeneic Hematopoietic Cell Transplantation after Nonmyeloablative Conditioning for Patients with Severe Systemic Sclerosis	George Earl Georges	George Earl Georges		Phase I/II	Fred Hutchinson Cancer Research Center; NCI; NIAID; Scleroderma Research Foundation	IIT; NCI; NIAID; Other	 Treatment	 17 to 70	 2067.00, NCI-2011-01352, FHCRC-2067.00, 6364, NCT00622895	N/A
146	Fred Hutch	Dose-Intensive Chemotherapy in Combination with Chemoprotected Autologous Stem Cells in Treating Patients with Malignant Gliomas	Hans-Peter Kiem	Hans-Peter Kiem		Phase I/II	Fred Hutchinson Cancer Research Center; NCI	IIT; NCI	 Treatment	 18 and over	 2000.00, NCI-2013-00701, 8357, FHCRC-2000.00, FHCRC-IR-6259, NCT00669669	Brain
147	Fred Hutch	Fludarabine Phosphate, Cyclophosphamide, Total-Body Irradiation, and Donor Bone Marrow Transplant Followed by Donor Natural Killer Cell Therapy, Mycophenolate Mofetil, and Tacrolimus in Treating Patients with Hematologic Cancer	Brenda M. Sandmaier	Brenda M. Sandmaier		Phase I/II	Fred Hutchinson Cancer Research Center; NCI; Wayne D. Kuni and Joan E. Kuni Foundation	IIT; NCI; Other	 Treatment	 Any age	 2230.00, NCI-2010-00106, FHCRC-2230.00, IR-6771, NCT00789776	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
148	Fred Hutch	Phase 1/2 Dose Escalation and Efficacy Study of Anti-CD38 Monoclonal Antibody in Patients With Selected CD38+ Hematological Malignancies	William I. Bensinger	William I. Bensinger		Phase I/II	Sanofi Aventis	Pharma	 Biomarker/Laboratory analysis, Treatment	 18 and over	 TED10893, NCI-2010-02332, U1111-1116-5472, NCT01084252	Leukemia; Lymphoma; Myeloma; Myelodysplastic Syndrome
