Project Title	Tumor Type	Administering  IC	Application ID	Project Number	Type	Activity	IC	Serial Number	Support Year	Suffix	Subproject Number 	Contact PI  Person ID	Contact PI / Project Leader	PI Trim	MemberID	Other PI or Project Leader(s)	Organization Name	ARRA Indicator	FY	FY Total Cost 	FY Total Cost  (Sub Projects)	FY Total
INFECTIONS IN HEMATOPOIETIC CELL TRANSPLANT RECIPIENTS		NHLBI	8099492	5K24HL093294-03	5	K24	HL	93294	3			7746372	BOECKH, MICHAEL J	BOECKH, MICHAEL J		Not Applicable	Fred Hutch	 	2011	185313		185313
A RANDOMZIED PHASE II TRIAL OF CMV PREVENTION IN ACUTE LUNG INJURY		NHLBI	8077421	5U01HL102547-02	5	U01	HL	102547	2			7746372	BOECKH, MICHAEL J 	BOECKH, MICHAEL J		LIMAYE, ABHIJIT PRAKASH;RUBENFELD, GORDON D	Fred Hutch	 	2011	2126770		2126770
BIOMEDICAL (BASIC)		NHLBI	8355190	268201100046C-0-0-1		N01						11131949	BOYER, MARK 	BOYER, MARK		Not Applicable	Fred Hutch	 	2011	14679877		14679877
PREDICTING PROTEIN-DNA INTERACTIONS WITH STRUCTURAL MODELS		NIGMS	8118972	5R01GM088277-03	5	R01	GM	88277	3			7003267	BRADLEY, PHILIP 	BRADLEY, PHILIP		Not Applicable	Fred Hutch	 	2011	326021		326021
DYNAMICS OF GRADIENT SENSING IN SINGLE CELLS		NIGMS	8088165	1R01GM097479-01	1	R01	GM	97479	1			8291787	BRENT, ROGER 	BRENT, ROGER		Not Applicable	Fred Hutch	 	2011	568567		568567
LATE EFFECTS OF TREATMENT IN WILMS TUMOR SURVIVORS AND OFFSPRING		NCI	7996626	5R01CA054498-20	5	R01	CA	54498	20			1879192	BRESLOW, NORMAN E	BRESLOW, NORMAN E		Not Applicable	Fred Hutch	 	2011	1007340		1007340
ACCEPTANCE & COMMITMENT THERAPY FOR SMOKING CESSATION		NCI	8101026	5R01CA151251-02	5	R01	CA	151251	2			7905616	BRICKER, JONATHAN B.	BRICKER, JONATHAN B.		Not Applicable	Fred Hutch	 	2011	653371		653371
IMPROVING SMOKING CESSATION QUITLINES: PILOT STUDY OF ACCEPTANCE THERAPY		NIDA	8112905	1R21DA030646-01A1	1	R21	DA	30646	1	A1		7905616	BRICKER, JONATHAN B.	BRICKER, JONATHAN B.		Not Applicable	Fred Hutch	 	2011	309517		309517
LEADERSHIP FOR HIV/AIDS CLINICAL TRIALS NETWORKS; MICROBICIDE TRIALS NETWORK		NIAID	8109842	5UM1AI068615-06	5	UM1	AI	68615	6			3119126	BROWN, ELIZABETH RENATA	BROWN, ELIZABETH RENATA		Not Applicable	Fred Hutch	 	2011	7435152		7435152
MOLECULAR MECHANISMS OF OLFACTION IN MAMMALS		NIDCD	7991330	5R01DC009324-04	5	R01	DC	9324	4			1946339	BUCK, LINDA B	BUCK, LINDA B		Not Applicable	Fred Hutch	 	2011	358412		358412
SEQUENCING CORE		NIAID	8202350	1U19AI096111-01	1	U19	AI	96111	1		8304	6573075	BUMGARNER, ROGER E.	BUMGARNER, ROGER E.		Not Applicable	Fred Hutch	 	2011		84126	84126
GENETICS		NCI	8296077	5P50CA148143-02	5	P50	CA	148143	2		6190	8512041	CARLSON, CHRISTOPHER S	CARLSON, CHRISTOPHER S		Not Applicable	Fred Hutch	 	2011		2680	2680
IMPACT OF HIV AND HHV-8 CO-INFECTION ON ANTIRETROVIRAL THERAPY EFFICACY IN AFRICA		NCI	8145306	5R01CA138165-02	5	R01	CA	138165	2			7087903	CASPER, COREY 	CASPER, COREY		Not Applicable	Fred Hutch	 	2011	297775		297775
BUILDING SUSTAINABLE TRANSLATIONAL RESEARCH TEAMS IN HIV-ASSOCIATED MALIGNANCIES		NCI	8125111	5D43CA153720-02	5	D43	CA	153720	2			7087903	CASPER, COREY 	CASPER, COREY		Not Applicable	Fred Hutch	 	2011	535506		535506
PILOT PROJECT		NCI	8326536	5U54CA153502-02	5	U54	CA	153502	2		7873	7706911	CEBALLOS, RACHEL M	CEBALLOS, RACHEL M		Not Applicable	Fred Hutch	 	2011		58954	58954
ADDRESSING PSYCHOSOCIAL DISPARITIES IN RURAL HISPANIC CANCER SURVIVORS		NCI	8189575	1K01CA154938-01A1	1	K01	CA	154938	1	A1		7706911	CEBALLOS, RACHEL M	CEBALLOS, RACHEL M		Not Applicable	Fred Hutch	 	2011	139976		139976
CANCER IMMUNOTHERAPY TRIALS NETWORK CENTRAL OPERATIONS AND STATISTICAL CENTER		NCI	8146165	5U01CA154967-02	5	U01	CA	154967	2			9462955	CHEEVER, MARTIN ALEXANDER	CHEEVER, MARTIN ALEXANDER		Not Applicable	Fred Hutch	 	2011	1564718		1564718
STATISTICAL METHODS IN HIV/AIDS RESEARCH		NIAID	8065406	5R01AI089341-02	5	R01	AI	89341	2			6713521	CHEN, YING QING	CHEN, YING QING		Not Applicable	Fred Hutch	 	2011	419097		419097
BIOMARKERS AND TARGETED THERAPY OF BRONCHIOLITIS OBLITERANS		NCI	8327077	8U54CA163438-03	8	U54	CA	163438	3		8521	6787292	CHIEN, JASON W	CHIEN, JASON W		Not Applicable	Fred Hutch	 	2011		250274	250274
DETERMINANTS OF LATE CARDIOVASCULAR MORBIDITY AMONG SURVIVORS OF HEMATOPOIETIC CE		NCI	8111884	1K07CA151775-01A1	1	K07	CA	151775	1	A1		8441297	CHOW, ERIC JESSEN	CHOW, ERIC JESSEN		Not Applicable	Fred Hutch	 	2011	151059		151059
GENETIC ANALYSIS OF AIRFLOW OBSTRUCTION AFTER STEM CELL TRANSPLANTATION		NHLBI	8067151	5R01HL088201-04	5	R01	HL	88201	4			1876459	CLARK, JOAN G.	CLARK, JOAN G.		Not Applicable	Fred Hutch	 	2011	440000		440000
TUMOR SUPPRESSION BY THE FBW7 UBIQUITIN LIGASE		NCI	8150450	5R01CA084069-12	5	R01	CA	84069	12			1883974	CLURMAN, BRUCE E	CLURMAN, BRUCE E		Not Applicable	Fred Hutch	 	2011	354300		354300
NORMAL AND NEOPLASTIC REGULATION OF CYCLIN E		NCI	7997178	5R01CA102742-08	5	R01	CA	102742	8			1883974	CLURMAN, BRUCE E	CLURMAN, BRUCE E		Not Applicable	Fred Hutch	 	2011	370973		370973
CELL PROLIFERATION AND DIFFERENTIATION BY THE FBW 7 TUMOR SUPPRESSOR		NHLBI	8259410	5P01HL084205-05	5	P01	HL	84205	5		3	1883974	CLURMAN, BRUCE E	CLURMAN, BRUCE E		Not Applicable	Fred Hutch	 	2011		452634	452634
CAREER AND MENTORING DEVELOPMENT PROGRAM		NCI	8322545	5P50CA083636-13	5	P50	CA	83636	13		7974	1955371	COLLINS, STEVEN COLLINS 	COLLINS, STEVEN COLLINS		URBAN, NICOLE DENISE	Fred Hutch	 	2011		62478	62478
CHROMOSOME METABOLISM AND CANCER		NCI	8077526	2T32CA009657-21	2	T32	CA	9657	21			1888671	COOPER, JONATHAN A.	COOPER, JONATHAN A.		Not Applicable	Fred Hutch	 	2011	407555		407555
SRC FAMILY KINASES AND CELL GROWTH REGULATION		NCI	7990406	5R01CA041072-26	5	R01	CA	41072	26			1888671	COOPER, JONATHAN A.	COOPER, JONATHAN A.		Not Applicable	Fred Hutch	 	2011	549678		549678
FUNCTIONS AND MECHANISMS OF THE ENDOCYTIC ADAPTOR DAB2		NIGMS	8072191	5R01GM066257-08	5	R01	GM	66257	8			1888671	COOPER, JONATHAN A.	COOPER, JONATHAN A.		Not Applicable	Fred Hutch	 	2011	410544		410544
THE NATIONAL CANCER INSTITUTE'S CONTACT CENTER		NCI	8241781	261201000004C-7-0-1		N02						11300849	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2011	6989366		6989366
MECHANISMS OF REACTIVATION AND CLEARANCE OF MUCOSAL HSV INFECTION		NIAID	8305098	5P01AI030731-21	5	P01	AI	30731	21		8	1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2011		327902	327902
LABORATORY CORE		NIAID	8305103	5P01AI030731-21	5	P01	AI	30731	21		9005	1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2011		354993	354993
ADMINISTRATIVE CORE		NIAID	8305105	5P01AI030731-21	5	P01	AI	30731	21		9007	1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2011		169539	169539
CYTOTOXIC T-CELL RESPONSES TO HSV: HIV-INFECTED PERSONS		NIAID	8045469	5R37AI042528-14	5	R37	AI	42528	14			1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2011	388659		388659
LEADERSHIP GROUP FOR A GLOBAL HIV VACCINE CLINICAL TRIALS NETWORK		NIAID	8088218	5UM1AI068614-06	5	UM1	AI	68614	6			1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2011	37287824		37287824
CANCER CENTER SUPPORT GRANT (COMPREHENSIVE)		NCI	8326771	3P30CA015704-37S5	3	P30	CA	15704	37	S5		1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2011	139269		139269
CANCER CENTER SUPPORT GRANT (COMPREHENSIVE)		NCI	8323033	3P30CA015704-37S4	3	P30	CA	15704	37	S4		1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2011	75000		75000
CANCER CENTER SUPPORT GRANT (COMPREHENSIVE)		NCI	8305813	3P30CA015704-37S3	3	P30	CA	15704	37	S3		1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2011	211800		211800
CANCER CENTER SUPPORT GRANT (COMPREHENSIVE)		NCI	8247458	3P30CA015704-37S2	3	P30	CA	15704	37	S2		1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2011	704000		704000
CANCER CENTER SUPPORT GRANT (COMPREHENSIVE)		NCI	8211465	3P30CA015704-37S1	3	P30	CA	15704	37	S1		1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2011	116988		116988
CANCER CENTER SUPPORT GRANT (COMPREHENSIVE)		NCI	8072200	5P30CA015704-37	5	P30	CA	15704	37			1860045	COREY, LAWRENCE 	COREY, LAWRENCE		Not Applicable	Fred Hutch	 	2011	10429029		10429029
SCREENING MAMMOGRAPHY AND LATINAS: A MULTILEVEL INTERVENTION		NCI	8296070	5P50CA148143-02	5	P50	CA	148143	2		6183	1953872	CORONADO, GLORIA D	CORONADO, GLORIA D		Not Applicable	Fred Hutch	 	2011		966134	966134
RESEARCH PROJECT		NCI	8326535	5U54CA153502-02	5	U54	CA	153502	2		7872	1953872	CORONADO, GLORIA D	CORONADO, GLORIA D		Not Applicable	Fred Hutch	 	2011		471512	471512
SOUTHWEST ONCOLOGY GROUP STATISTICAL CENTER		NCI	8054802	5U10CA038926-26	5	U10	CA	38926	26			1884476	CROWLEY, JOHN J	CROWLEY, JOHN J		Not Applicable	Fred Hutch	 	2011	4603957		4603957
NIGHT SHIFT WORK AND HORMONE LEVELS IN MEN		NCI	8067760	5R01CA116400-05	5	R01	CA	116400	5			1880463	DAVIS, SCOTT 	DAVIS, SCOTT		Not Applicable	Fred Hutch	 	2011	943868		943868
BREAST CANCER RISK AND MOLECULAR CHANGE AFTER CHERNOBYL		NCI	8131679	5R01CA118914-05	5	R01	CA	118914	5			1880463	DAVIS, SCOTT 	DAVIS, SCOTT		Not Applicable	Fred Hutch	 	2011	1208872		1208872
ROLE OF AIR POLLUTION IN RHEUMATOID ARTHRITIS INCIDENCE AND EXACERBATION		NIAMS	8079034	5R03AR056818-02	5	R03	AR	56818	2			1900926	DE ROOS, ANNECLAIRE J	DE ROOS, ANNECLAIRE J		Not Applicable	Fred Hutch	 	2011	84480		84480
IMMUNOLOGY CORE		NIAID	8202351	1U19AI096111-01	1	U19	AI	96111	1		8305	1894655	DE ROSA, STEPHEN C	DE ROSA, STEPHEN C		Not Applicable	Fred Hutch	 	2011		147211	147211
HEMATOPOIETIC CELL TRANSPLANTATION AND IRON OVERLOAD		NHLBI	8055465	5R01HL095999-02	5	R01	HL	95999	2			1895223	DEEG, H. JOACHIM	DEEG, H. JOACHIM		Not Applicable	Fred Hutch	 	2011	442525		442525
VACCINATING AGAINST IGFBP-2 TO PREVENT OVARIAN CANCER RELAPSE		NCI	8322539	5P50CA083636-13	5	P50	CA	83636	13		7968	1877623	DISIS, MARY L. 	DISIS, MARY L.		SALAZAR, LUPE G;SWENSEN, RONALD 	Fred Hutch	 	2011		437712	437712
TELOMERES AND LUNG CANCER INCIDENCE AND SURVIVAL		NCI	8107313	1R01CA151989-01A1	1	R01	CA	151989	1	A1		9733280	DOHERTY, JENNIFER ANNE	DOHERTY, JENNIFER ANNE		Not Applicable	Fred Hutch	 	2011	725296		725296
LEADERSHIP FOR HIV/AIDS CLINICAL TRIALS NETWORKS; HIV PREVENTION TRIALS NETWORK		NIAID	8098903	5UM1AI068617-06	5	UM1	AI	68617	6			8589306	DONNELL, DEBORAH J	DONNELL, DEBORAH J		Not Applicable	Fred Hutch	 	2011	5791838		5791838
DNA EXCHANGE DURING STOMACH COLONIZATION BY HELICOBACTER PYLORI		NIDDK	8021032	5K01DK080894-04	5	K01	DK	80894	4			2084417	DORER, MARION SHONN	DORER, MARION SHONN		Not Applicable	Fred Hutch	 	2011	13970		13970
TARGETED MICROBUBBLE CONTRAST-ENHANCED ULTRASOUND IMAGING OF THE OVARIAN CANCER V		NCI	8322536	5P50CA083636-13	5	P50	CA	83636	13		7965	6523545	DRESCHER, CHARLES  	DRESCHER, CHARLES		GAMBHIR, SANJIV S	Fred Hutch	 	2011		257611	257611
PARTICIPANT RECRUITMENT; ENROLLMENT AND CHARACTERIZATION CORE		NCI	8322542	5P50CA083636-13	5	P50	CA	83636	13		7971	6523545	DRESCHER, CHARLES 	DRESCHER, CHARLES		Not Applicable	Fred Hutch	 	2011		230576	230576
HIV TESTING AND TREATMENT TO PREVENT ONWARD HIV TRANSMISSION AMONG HIGH-RISK MSM		NIDA	8190986	1R01DA032106-01	1	R01	DA	32106	1			2068561	DUERR, ANN C	DUERR, ANN C		Not Applicable	Fred Hutch	 	2011	1615108		1615108
IMMUNIZATION OF ORAL MUCOSA FOR INDUCTION OF RECTAL AND GENITAL MUCOSAL IMMUNITY		NIDCR	8084082	5R01DE019063-04	5	R01	DE	19063	4			2068561	DUERR, ANN C	DUERR, ANN C		Not Applicable	Fred Hutch	 	2011	421014		421014
EXERCISE EFFECTS ON SERUM BIOMARKERS OF ANGIOGENESIS		NCI	8131576	1R03CA152847-01A1	1	R03	CA	152847	1	A1		10283600	DUGGAN, CATHERINE ROSE	DUGGAN, CATHERINE ROSE		Not Applicable	Fred Hutch	 	2011	88000		88000
REGULATION OF CELL GROWTH AND PROLIFERATION BY MYC		NCI	8010618	5R01CA020525-35	5	R01	CA	20525	35			1877681	EISENMAN, ROBERT NEIL	EISENMAN, ROBERT NEIL		Not Applicable	Fred Hutch	 	2011	577352		577352
MYC ONCOPROTEIN FUNCTION		NCI	8082632	5R37CA057138-21	5	R37	CA	57138	21			1877681	EISENMAN, ROBERT NEIL	EISENMAN, ROBERT NEIL		Not Applicable	Fred Hutch	 	2011	828348		828348
TRANSCRIPTION FACTORS IN STEM CELL SELF-RENEWAL AND DIFFERENTATION		NHLBI	8259409	5P01HL084205-05	5	P01	HL	84205	5		2	1877681	EISENMAN, ROBERT NEIL	EISENMAN, ROBERT NEIL		Not Applicable	Fred Hutch	 	2011		465211	465211
EVOLUTIONARY POTENTIAL OF A MODEL POXVIRUS		NIGMS	8010949	5K99GM090042-02	5	K99	GM	90042	2			6135986	ELDE, NELS C.	ELDE, NELS C.		Not Applicable	Fred Hutch	 	2011	45000		45000
HIV HOST-CELL INTERACTIONS		NIAID	8209447	2R01AI030927-21A1	2	R01	AI	30927	21	A1		1891728	EMERMAN, MICHAEL 	EMERMAN, MICHAEL		Not Applicable	Fred Hutch	 	2011	541280		541280
BIOSTATISTICS		NCI	8330645	5P50CA097186-10	5	P50	CA	97186	10		9002	9257679	ETZIONI, RUTH D	ETZIONI, RUTH D		Not Applicable	Fred Hutch	 	2011		131112	131112
OUTCOMES BASED GUIDELINE DEVELOPMENT FOR PROSTATE CANCER SCREENING AND TREATMENT		NCI	8113209	5R01CA131874-04	5	R01	CA	131874	4			1883893	ETZIONI, RUTH D	ETZIONI, RUTH D		Not Applicable	Fred Hutch	 	2011	266384		266384
MODELING PROSTATE CANCER CONTROL: PREVENTION; SCREENING; TREATMENT; FOLLOWUP CARE		NCI	8141354	5U01CA157224-02	5	U01	CA	157224	2			1883893	ETZIONI, RUTH D 	ETZIONI, RUTH D		DE KONING, HARRY ;TSODIKOV, ALEXANDER 	Fred Hutch	 	2011	1065485		1065485
USE OF BIOMARKERS IN DIAGNOSIS; PROGNOSIS; RISK PREDICTION AND EARLY DETECTION OF		NCI	8174891	2P01CA053996-34	2	P01	CA	53996	34		6128	2110020	FENG, ZIDING 	FENG, ZIDING		Not Applicable	Fred Hutch	 	2011		178481	178481
EARLY DETECTION RESEARCH NETWORK: DATA MANAGEMENT AND COORDINATING CENTER		NCI	8130940	5U24CA086368-12	5	U24	CA	86368	12			2110020	FENG, ZIDING 	FENG, ZIDING		Not Applicable	Fred Hutch	 	2011	1892198		1892198
PROSPR STATISTICAL COORDINATING CENTER (PSCC)		NCI	8223439	1U01CA163304-01	1	U01	CA	163304	1			2110020	FENG, ZIDING  	FENG, ZIDING		BARLOW, WILLIAM E	Fred Hutch	 	2011	1500000		1500000
ROLE OF CTCF IN CHROMATIN AND NUCLEAR ORGANIZATION AT THE FSHD 4QD4Z4LOCUS		NINDS	8232182	5P01NS069539-02	5	P01	NS	69539	2		6884	3131937	FILIPPOVA, GALINA N	FILIPPOVA, GALINA N		Not Applicable	Fred Hutch	 	2011		282127	282127
NOVEL CULTIVATION METHODS FOR THE DOMESTICATION OF VAGINAL BACTERIA		NHGRI	8118202	5R01HG005816-02	5	R01	HG	5816	2			1888993	FREDRICKS, DAVID NEAL	FREDRICKS, DAVID NEAL		Not Applicable	Fred Hutch	 	2011	626780		626780
NOVEL COMPUTATIONAL TOOLS FOR STUDYING THE HUMAN MICROBIOME		NHGRI	8149994	5R01HG005966-02	5	R01	HG	5966	2			1888993	FREDRICKS, DAVID NEAL 	FREDRICKS, DAVID NEAL		MATSEN, FREDERICK ALBERT	Fred Hutch	 	2011	495844		495844
ETHICS AND POLICY		NCI	8296076	5P50CA148143-02	5	P50	CA	148143	2		6189	8491201	FULLERTON, STEPHANIE M	FULLERTON, STEPHANIE M		Not Applicable	Fred Hutch	 	2011		80036	80036
HPV CAPSID ANTIBODIES		NIAID	8016047	5R01AI038382-18	5	R01	AI	38382	18			1863891	GALLOWAY, DENISE A.	GALLOWAY, DENISE A.		Not Applicable	Fred Hutch	 	2011	380590		380590
MOLECULAR MECHANISMS OF GENUS BETA E6 AND E7 PROTEINS		NCI	8307528	5P01CA042792-23	5	P01	CA	42792	23		9	1863891	GALLOWAY, DENISE A.	GALLOWAY, DENISE A.		Not Applicable	Fred Hutch	 	2011		378176	378176
MOLECULAR BIOLOGY		NCI	8307530	5P01CA042792-23	5	P01	CA	42792	23		9001	1863891	GALLOWAY, DENISE A.	GALLOWAY, DENISE A.		Not Applicable	Fred Hutch	 	2011		312187	312187
HPV: BIOLOGY; CLINICAL SIGNIFICANCE AND EPIDEMIOLOGY		NCI	8118874	5P01CA042792-23	5	P01	CA	42792	23			1863891	GALLOWAY, DENISE A.	GALLOWAY, DENISE A.		Not Applicable	Fred Hutch	 	2011	1952686		1952686
INTERACTIONS OF HPV ONCOGENES WITH THE P53 PATHWAY		NCI	8205889	2R01CA064795-16A1	2	R01	CA	64795	16	A1		1863891	GALLOWAY, DENISE A.	GALLOWAY, DENISE A.		Not Applicable	Fred Hutch	 	2011	538372		538372
P-2:  THE EFFECT OF RAD ON ANDROGEN RECEPTOR EXPRESSION AND ACTIVITY IN PROSTATE		NCI	8330637	5P50CA097186-10	5	P50	CA	97186	10		2	9257660	GARZOTTO, MARK 	GARZOTTO, MARK		Not Applicable	Fred Hutch	 	2011		286241	286241
TRANSLATIONAL CONTROL OF CYTOMEGALOVIRUS GENE EXPRESSION		NIAID	8049687	5R01AI026672-22	5	R01	AI	26672	22			1896963	GEBALLE, ADAM P.	GEBALLE, ADAM P.		Not Applicable	Fred Hutch	 	2011	423568		423568
NHP MAJOR HISTOCOMPATIBILITY COMPLEX GENE DISCOVERY AND TYPING TECHNOLOGY		NIAID	8335592	272201100026C-2-0-1		N01						1884133	GERAGHTY, DANIEL E.	GERAGHTY, DANIEL E.		Not Applicable	Fred Hutch	 	2011	5815265		5815265
COMPLETE GENOMIC DNA SEQUENCE OF THE SOOTY MANGABEY MHC		NCRR	8018373	1R24RR031463-01	1	R24	RR	31463	1			1884133	GERAGHTY, DANIEL E.	GERAGHTY, DANIEL E.		Not Applicable	Fred Hutch	 	2011	635448		635448
STATISTICAL METHODS IN HIV VACCINE EFFICACY TRIALS		NIAID	8054313	5R37AI054165-09	5	R37	AI	54165	9			1941165	GILBERT, PETER B.	GILBERT, PETER B.		Not Applicable	Fred Hutch	 	2011	313632		313632
LEADERSHIP FOR HIV/AIDS CLINICAL TRIALS NETWORKS; HIV VACCINE TRIALS NETWORK		NIAID	8088185	5UM1AI068635-06	5	UM1	AI	68635	6			1941165	GILBERT, PETER B.	GILBERT, PETER B.		Not Applicable	Fred Hutch	 	2011	8718076		8718076
P-3:  CHARACTERIZATION AND TARGETING OF THE CYTOPROTECTIVE CHAPERONE; HSP27		NCI	8330638	5P50CA097186-10	5	P50	CA	97186	10		3	9257662	GLEAVE, MARTIN 	GLEAVE, MARTIN		Not Applicable	Fred Hutch	 	2011		259146	259146
RADIOIMMUNOTHERAPY FOR LYMPHOMA		NCI	8131411	2P01CA044991-23A1	2	P01	CA	44991	23	A1	8453	8864897	GOPAL, AJAY 	GOPAL, AJAY		Not Applicable	Fred Hutch	 	2011		275955	275955
THE STATISTICAL AND COMPUTATIONAL ANALYSIS OF FLOW CYTOMETRY DATA		NIBIB	8062031	5R01EB008400-04	5	R01	EB	8400	4			8779785	GOTTARDO, RAPHAEL 	GOTTARDO, RAPHAEL		Not Applicable	Fred Hutch	 	2011	359403		359403
DISSECTING THE MECHANISM OF INCREASED GENOMIC INSTABILITY IN AGING YEAST		NIA	8149829	5R37AG023779-07	5	R37	AG	23779	7			1883041	GOTTSCHLING, DANIEL E.	GOTTSCHLING, DANIEL E.		Not Applicable	Fred Hutch	 	2011	494033		494033
MECHANISMS OF ORGANELLE DETERIORATION		NIA	8109152	1R01AG037512-01A1	1	R01	AG	37512	1	A1		1883041	GOTTSCHLING, DANIEL E.	GOTTSCHLING, DANIEL E.		Not Applicable	Fred Hutch	 	2011	466362		466362
GENETIC DISCOVERY OF NEW REGULATORS OF FATTY ACID SYNTHESIS		NIDDK	8054315	5R01DK085113-02	5	R01	DK	85113	2			1883041	GOTTSCHLING, DANIEL E.	GOTTSCHLING, DANIEL E.		Not Applicable	Fred Hutch	 	2011	331056		331056
TGF-BETA SIGNALING AND COLON CANCER		NCI	8009509	5R01CA115513-05	5	R01	CA	115513	5			1865649	GRADY, WILLIAM MALLORY	GRADY, WILLIAM MALLORY		Not Applicable	Fred Hutch	 	2011	312778		312778
IDENTIFY AND VALIDATE NOVEL EPIGENETIC MOLECULAR MARKERS FOR COLORECTAL NEOPLASM		NCI	8133476	5U01CA152756-02	5	U01	CA	152756	2			1865649	GRADY, WILLIAM MALLORY 	GRADY, WILLIAM MALLORY		MARKOWITZ, SANFORD D	Fred Hutch	 	2011	584114		584114
CLINICAL		NCI	8330203	5P50CA138293-02	5	P50	CA	138293	2		6635	1938864	GRALOW, JULIE R.	GRALOW, JULIE R.		Not Applicable	Fred Hutch	 	2011		310288	310288
CANINE HISTOCOMPATIBILITY TYPING		NCI	8240008	5P01CA078902-13	5	P01	CA	78902	13		8827	1941847	GRAVES, SCOTT STOLL	GRAVES, SCOTT STOLL		Not Applicable	Fred Hutch	 	2011		117541	117541
RADIOIMMUNOTHERAPY FOR MULTIPLE MYELOMA		NCI	8132916	5K08CA151682-02	5	K08	CA	151682	2			10155660	GREEN, DAMIAN J.	GREEN, DAMIAN J.		Not Applicable	Fred Hutch	 	2011	169560		169560
SPECIFIC ADOPTIVE IMMUNOTHERAPY OF LEUKEMIA		NCI	8277821	5P01CA018029-36	5	P01	CA	18029	36		48	9253382	GREENBERG, PHILIP D	GREENBERG, PHILIP D		Not Applicable	Fred Hutch	 	2011		579708	579708
ZFN-MODIFIED STEM CELLS FOR HIV ERADICATION		NIAID	8202335	1U19AI096111-01	1	U19	AI	96111	1		8298	7791039	GREGORY, PHILIP D	GREGORY, PHILIP D		Not Applicable	Fred Hutch	 	2011		367655	367655
FUNCTION OF HUMAN & MOUSE BETA-GLOBIN LOCUS CONTROL REGIONS		NIDDK	8053433	5R37DK044746-20	5	R37	DK	44746	20			1858526	GROUDINE, MARK T	GROUDINE, MARK T		Not Applicable	Fred Hutch	 	2011	660652		660652
ACTIVATION AND SILENCING OF GENE EXPRESSION DURING HEMATOPOIESIS--OLD		NHLBI	8063173	5R01HL065440-12	5	R01	HL	65440	12			1858526	GROUDINE, MARK T	GROUDINE, MARK T		Not Applicable	Fred Hutch	 	2011	905478		905478
QIAGEN PYROMARK Q96 MD AUTOMATED PYROSEQUENCING SYSTEM		NCRR	8052186	1S10RR027271-01A1	1	S10	RR	27271	1	A1		1858526	GROUDINE, MARK T	GROUDINE, MARK T		Not Applicable	Fred Hutch	 	2011	142000		142000
PATHOLOGY CORE		NCI	8277824	5P01CA018029-36	5	P01	CA	18029	36		9005	9253399	HACKMAN, ROBERT M	HACKMAN, ROBERT M		Not Applicable	Fred Hutch	 	2011		303126	303126
MOLECULAR ANALYSIS OF EUKARYOTIC TRANSCRIPTION		NIGMS	8063128	5R01GM053451-16	5	R01	GM	53451	16			1887728	HAHN, STEVEN M	HAHN, STEVEN M		Not Applicable	Fred Hutch	 	2011	647032		647032
MECHANISMS OF EUKARYOTIC TRANSCRIPTION ACTIVATION		NIGMS	8049212	5R01GM075114-06	5	R01	GM	75114	6			1887728	HAHN, STEVEN M	HAHN, STEVEN M		Not Applicable	Fred Hutch	 	2011	604340		604340
METHODS FOR EVALUATING VACCINE EFFICACY		NIAID	8089353	5R37AI032042-18	5	R37	AI	32042	18			1890460	HALLORAN, M ELIZABETH	HALLORAN, M ELIZABETH		Not Applicable	Fred Hutch	 	2011	512030		512030
ACQUISITION AND LOSS OF NEISSERIA MENINGITIDIS CARRIAGE IN HOUSEHOLDS IN MALI		NIAID	8113844	1R03AI092121-01A1	1	R03	AI	92121	1	A1		1890460	HALLORAN, M ELIZABETH	HALLORAN, M ELIZABETH		Not Applicable	Fred Hutch	 	2011	83947		83947
CONTAINING BIOTERRORIST AND EMERGING INFECTIOUS DISEASES		NIGMS	8070052	5U01GM070749-09	5	U01	GM	70749	9			1890460	HALLORAN, M ELIZABETH 	HALLORAN, M ELIZABETH		LONGINI, IRA M	Fred Hutch	 	2011	893467		893467
PREVENTIVE INTERVENTIONS LEADERSHIP U01		NCI	8137659	5U01CA141550-03	5	U01	CA	141550	3			6588092	HANASH, SAMIR M	HANASH, SAMIR M		Not Applicable	Fred Hutch	 	2011	495793		495793
CONFIRMATION STUDIES OF BLOOD BASED BIOMARKERS OF RISK FOR BREAST CANCER		NCI	8176348	1R21CA161713-01	1	R21	CA	161713	1			6588092	HANASH, SAMIR M	HANASH, SAMIR M		Not Applicable	Fred Hutch	 	2011	229680		229680
